sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,0,25310.0,27008.0,26824.0,26391.0,26238.0,25905.0,25543.0,25220.0,25032.0,24547.0,24239.0,24263.0,24136.0,23875.0,23638.0,23761.0,23537.0,23558.0,23458.0,23299.0,23200.0,22802.0,22772.0,22149.0,21905.0,21856.0,21545.0,21201.0,20983.0,20402.0,20346.0,20280.0,19948.0,19605.0,19590.0,19394.0,19103.0,19009.0,18726.0,18508.0,18490.0,18252.0,18328.0,17913.0,17911.0,17701.0,17684.0,17436.0,17553.0,17250.0,17050.0,16964.0,16877.0,16594.0,16526.0,16458.0,16250.0,15869.0,15613.0,15753.0,15442.0,15226.0,15193.0,14886.0,14714.0,14618.0,14446.0,14310.0,14146.0,14013.0,13912.0,13736.0,13567.0,13520.0,13488.0,13141.0,13276.0,13015.0,12963.0,12911.0,12746.0,12693.0,12531.0,12468.0,12327.0,12159.0,12068.0,11961.0,11806.0,11634.0,11689.0,11563.0,11343.0,11247.0,11175.0,10973.0,10856.0,10887.0,10706.0,10521.0,10389.0
K,1,28037.0,25308.0,27004.0,26822.0,26390.0,26236.0,25900.0,25536.0,25216.0,25030.0,24543.0,24234.0,24260.0,24134.0,23873.0,23637.0,23760.0,23533.0,23554.0,23456.0,23299.0,23196.0,22801.0,22769.0,22149.0,21905.0,21856.0,21544.0,21201.0,20983.0,20401.0,20345.0,20279.0,19948.0,19604.0,19590.0,19393.0,19102.0,19009.0,18726.0,18508.0,18490.0,18251.0,18327.0,17912.0,17911.0,17701.0,17684.0,17436.0,17553.0,17250.0,17050.0,16964.0,16877.0,16594.0,16526.0,16458.0,16250.0,15869.0,15612.0,15753.0,15442.0,15226.0,15193.0,14886.0,14713.0,14618.0,14446.0,14310.0,14146.0,14013.0,13911.0,13735.0,13567.0,13520.0,13487.0,13141.0,13275.0,13015.0,12963.0,12910.0,12746.0,12692.0,12531.0,12468.0,12327.0,12159.0,12068.0,11961.0,11806.0,11634.0,11689.0,11563.0,11343.0,11247.0,11175.0,10971.0,10856.0,10886.0,10706.0,10520.0
K,2,26820.0,28032.0,25303.0,26996.0,26817.0,26390.0,26235.0,25896.0,25532.0,25215.0,25027.0,24541.0,24228.0,24256.0,24130.0,23871.0,23636.0,23759.0,23532.0,23554.0,23453.0,23299.0,23196.0,22801.0,22769.0,22148.0,21903.0,21856.0,21542.0,21201.0,20983.0,20399.0,20345.0,20279.0,19948.0,19604.0,19590.0,19393.0,19101.0,19009.0,18725.0,18508.0,18490.0,18250.0,18327.0,17912.0,17911.0,17701.0,17684.0,17436.0,17553.0,17250.0,17050.0,16963.0,16877.0,16594.0,16526.0,16458.0,16249.0,15869.0,15612.0,15753.0,15442.0,15226.0,15193.0,14886.0,14713.0,14616.0,14446.0,14310.0,14145.0,14012.0,13911.0,13735.0,13566.0,13520.0,13486.0,13141.0,13274.0,13015.0,12963.0,12910.0,12746.0,12692.0,12531.0,12468.0,12327.0,12159.0,12067.0,11960.0,11806.0,11633.0,11689.0,11562.0,11343.0,11246.0,11175.0,10971.0,10856.0,10886.0,10706.0
K,3,27466.0,26814.0,28030.0,25300.0,26994.0,26815.0,26385.0,26230.0,25892.0,25531.0,25212.0,25020.0,24541.0,24226.0,24251.0,24127.0,23869.0,23633.0,23758.0,23532.0,23550.0,23450.0,23297.0,23195.0,22800.0,22768.0,22148.0,21903.0,21856.0,21542.0,21201.0,20983.0,20399.0,20345.0,20279.0,19947.0,19603.0,19590.0,19393.0,19101.0,19009.0,18725.0,18507.0,18490.0,18249.0,18327.0,17912.0,17911.0,17701.0,17684.0,17435.0,17553.0,17250.0,17050.0,16962.0,16877.0,16594.0,16526.0,16458.0,16249.0,15869.0,15612.0,15753.0,15442.0,15225.0,15193.0,14886.0,14711.0,14616.0,14446.0,14310.0,14145.0,14011.0,13910.0,13735.0,13566.0,13520.0,13486.0,13141.0,13274.0,13014.0,12963.0,12910.0,12746.0,12692.0,12531.0,12467.0,12327.0,12159.0,12066.0,11960.0,11806.0,11633.0,11689.0,11562.0,11342.0,11245.0,11175.0,10970.0,10856.0,10886.0
K,4,27692.0,27464.0,26811.0,28021.0,25297.0,26991.0,26814.0,26382.0,26225.0,25890.0,25529.0,25210.0,25018.0,24539.0,24225.0,24248.0,24124.0,23867.0,23632.0,23758.0,23531.0,23548.0,23449.0,23295.0,23195.0,22800.0,22766.0,22148.0,21902.0,21854.0,21542.0,21200.0,20983.0,20398.0,20343.0,20278.0,19946.0,19603.0,19590.0,19393.0,19101.0,19008.0,18725.0,18507.0,18490.0,18249.0,18327.0,17912.0,17911.0,17700.0,17683.0,17434.0,17553.0,17250.0,17050.0,16961.0,16876.0,16594.0,16525.0,16458.0,16249.0,15869.0,15611.0,15753.0,15442.0,15225.0,15193.0,14886.0,14711.0,14616.0,14445.0,14310.0,14145.0,14011.0,13910.0,13735.0,13566.0,13520.0,13486.0,13141.0,13274.0,13014.0,12963.0,12910.0,12746.0,12691.0,12531.0,12467.0,12327.0,12159.0,12065.0,11960.0,11806.0,11632.0,11689.0,11562.0,11342.0,11245.0,11175.0,10969.0,10856.0
K,5,28546.0,27690.0,27462.0,26809.0,28020.0,25296.0,26990.0,26814.0,26381.0,26225.0,25889.0,25527.0,25210.0,25018.0,24539.0,24223.0,24247.0,24123.0,23866.0,23632.0,23757.0,23531.0,23548.0,23449.0,23294.0,23195.0,22800.0,22763.0,22148.0,21901.0,21854.0,21542.0,21200.0,20983.0,20398.0,20343.0,20278.0,19946.0,19603.0,19589.0,19393.0,19101.0,19007.0,18725.0,18507.0,18490.0,18249.0,18326.0,17912.0,17911.0,17700.0,17683.0,17434.0,17553.0,17250.0,17050.0,16961.0,16876.0,16593.0,16525.0,16458.0,16249.0,15869.0,15611.0,15753.0,15442.0,15225.0,15193.0,14886.0,14711.0,14616.0,14445.0,14310.0,14145.0,14011.0,13910.0,13735.0,13565.0,13520.0,13486.0,13141.0,13274.0,13014.0,12963.0,12910.0,12746.0,12691.0,12531.0,12467.0,12327.0,12159.0,12065.0,11960.0,11806.0,11632.0,11689.0,11562.0,11341.0,11245.0,11175.0,10969.0
K,6,29714.0,28546.0,27689.0,27461.0,26809.0,28019.0,25295.0,26988.0,26811.0,26378.0,26225.0,25888.0,25526.0,25210.0,25017.0,24538.0,24221.0,24247.0,24123.0,23866.0,23632.0,23757.0,23530.0,23547.0,23449.0,23292.0,23195.0,22800.0,22763.0,22148.0,21901.0,21854.0,21542.0,21199.0,20983.0,20398.0,20343.0,20278.0,19946.0,19603.0,19589.0,19392.0,19101.0,19007.0,18725.0,18507.0,18490.0,18249.0,18326.0,17912.0,17911.0,17700.0,17683.0,17434.0,17553.0,17250.0,17050.0,16960.0,16876.0,16593.0,16525.0,16458.0,16249.0,15869.0,15610.0,15753.0,15440.0,15225.0,15193.0,14885.0,14711.0,14616.0,14445.0,14310.0,14145.0,14011.0,13910.0,13735.0,13565.0,13520.0,13486.0,13141.0,13274.0,13014.0,12962.0,12910.0,12746.0,12691.0,12531.0,12467.0,12327.0,12159.0,12065.0,11960.0,11806.0,11632.0,11689.0,11561.0,11341.0,11245.0,11175.0
K,7,29958.0,29713.0,28544.0,27687.0,27460.0,26809.0,28019.0,25295.0,26987.0,26809.0,26376.0,26225.0,25885.0,25526.0,25209.0,25017.0,24536.0,24221.0,24246.0,24123.0,23865.0,23629.0,23756.0,23530.0,23546.0,23449.0,23291.0,23195.0,22800.0,22763.0,22146.0,21901.0,21854.0,21542.0,21199.0,20983.0,20398.0,20343.0,20278.0,19946.0,19603.0,19588.0,19392.0,19101.0,19007.0,18725.0,18507.0,18490.0,18248.0,18325.0,17912.0,17911.0,17699.0,17683.0,17434.0,17553.0,17250.0,17050.0,16960.0,16876.0,16593.0,16525.0,16458.0,16249.0,15869.0,15609.0,15753.0,15440.0,15225.0,15192.0,14885.0,14711.0,14616.0,14445.0,14310.0,14145.0,14011.0,13910.0,13735.0,13565.0,13519.0,13485.0,13141.0,13274.0,13014.0,12962.0,12910.0,12746.0,12691.0,12531.0,12467.0,12327.0,12159.0,12065.0,11960.0,11806.0,11631.0,11689.0,11561.0,11341.0,11245.0
K,8,30221.0,29957.0,29711.0,28542.0,27685.0,27460.0,26808.0,28019.0,25291.0,26986.0,26808.0,26372.0,26223.0,25884.0,25525.0,25209.0,25016.0,24536.0,24221.0,24246.0,24121.0,23865.0,23629.0,23756.0,23530.0,23545.0,23449.0,23291.0,23194.0,22800.0,22763.0,22146.0,21901.0,21854.0,21542.0,21199.0,20982.0,20397.0,20343.0,20278.0,19946.0,19603.0,19588.0,19392.0,19101.0,19007.0,18725.0,18507.0,18490.0,18248.0,18325.0,17912.0,17910.0,17699.0,17683.0,17433.0,17553.0,17250.0,17050.0,16960.0,16876.0,16593.0,16525.0,16458.0,16249.0,15869.0,15609.0,15753.0,15440.0,15225.0,15192.0,14885.0,14711.0,14616.0,14445.0,14310.0,14145.0,14011.0,13910.0,13735.0,13565.0,13519.0,13485.0,13141.0,13274.0,13014.0,12962.0,12910.0,12746.0,12691.0,12531.0,12467.0,12327.0,12159.0,12065.0,11960.0,11805.0,11631.0,11689.0,11561.0,11341.0
K,9,30613.0,30219.0,29955.0,29710.0,28542.0,27684.0,27459.0,26807.0,28018.0,25291.0,26985.0,26807.0,26372.0,26223.0,25884.0,25524.0,25208.0,25015.0,24535.0,24220.0,24245.0,24121.0,23865.0,23628.0,23756.0,23530.0,23544.0,23449.0,23291.0,23194.0,22800.0,22763.0,22146.0,21900.0,21854.0,21542.0,21199.0,20982.0,20397.0,20343.0,20278.0,19946.0,19602.0,19588.0,19392.0,19101.0,19007.0,18724.0,18507.0,18490.0,18248.0,18325.0,17912.0,17910.0,17699.0,17683.0,17433.0,17553.0,17249.0,17050.0,16959.0,16876.0,16593.0,16525.0,16458.0,16249.0,15869.0,15609.0,15752.0,15440.0,15225.0,15190.0,14885.0,14711.0,14616.0,14445.0,14310.0,14144.0,14011.0,13910.0,13735.0,13565.0,13519.0,13484.0,13141.0,13274.0,13014.0,12962.0,12910.0,12746.0,12691.0,12531.0,12467.0,12327.0,12159.0,12065.0,11960.0,11805.0,11631.0,11688.0,11561.0
