sex,alder,pop_2023,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113
K,0,18502.0,18348.0,18078.0,18183.0,17968.0,17868.0,17668.0,17475.0,17346.0,17205.0,16924.0,16939.0,16741.0,16530.0,16426.0,16308.0,16076.0,15998.0,15934.0,15595.0,15369.0,15110.0,15043.0,15028.0,14851.0,14673.0,14407.0,14342.0,14117.0,13901.0,13968.0,13739.0,13735.0,13648.0,13563.0,13283.0,13164.0,13283.0,12882.0,12767.0,12754.0,12525.0,12564.0,12397.0,12283.0,12210.0,12079.0,11922.0,11841.0,11655.0,11685.0
K,1,18768.0,18502.0,18347.0,18075.0,18181.0,17964.0,17867.0,17667.0,17472.0,17346.0,17204.0,16922.0,16939.0,16739.0,16530.0,16425.0,16308.0,16075.0,15997.0,15932.0,15594.0,15369.0,15109.0,15041.0,15028.0,14850.0,14673.0,14407.0,14342.0,14116.0,13900.0,13968.0,13739.0,13735.0,13646.0,13562.0,13282.0,13164.0,13283.0,12882.0,12766.0,12754.0,12524.0,12563.0,12397.0,12282.0,12210.0,12079.0,11922.0,11841.0,11654.0
K,2,18734.0,18768.0,18502.0,18347.0,18074.0,18179.0,17964.0,17865.0,17666.0,17471.0,17345.0,17204.0,16922.0,16938.0,16738.0,16529.0,16424.0,16307.0,16073.0,15996.0,15932.0,15593.0,15368.0,15108.0,15040.0,15028.0,14850.0,14673.0,14407.0,14342.0,14115.0,13900.0,13968.0,13739.0,13735.0,13646.0,13561.0,13282.0,13164.0,13283.0,12881.0,12766.0,12754.0,12524.0,12563.0,12397.0,12282.0,12209.0,12079.0,11921.0,11840.0
K,3,19065.0,18734.0,18768.0,18500.0,18347.0,18073.0,18177.0,17964.0,17865.0,17665.0,17468.0,17344.0,17203.0,16921.0,16937.0,16738.0,16528.0,16424.0,16307.0,16073.0,15996.0,15932.0,15592.0,15368.0,15106.0,15040.0,15027.0,14849.0,14673.0,14407.0,14341.0,14114.0,13900.0,13968.0,13739.0,13734.0,13645.0,13561.0,13282.0,13164.0,13283.0,12880.0,12766.0,12753.0,12524.0,12563.0,12395.0,12282.0,12208.0,12079.0,11921.0
K,4,19182.0,19065.0,18734.0,18768.0,18500.0,18347.0,18071.0,18176.0,17963.0,17865.0,17665.0,17466.0,17344.0,17203.0,16919.0,16937.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15931.0,15592.0,15367.0,15104.0,15039.0,15027.0,14849.0,14671.0,14406.0,14341.0,14114.0,13899.0,13966.0,13739.0,13734.0,13644.0,13561.0,13282.0,13163.0,13282.0,12878.0,12766.0,12753.0,12524.0,12563.0,12395.0,12282.0,12208.0,12078.0
K,5,19333.0,19182.0,19065.0,18734.0,18768.0,18500.0,18347.0,18071.0,18176.0,17963.0,17865.0,17665.0,17466.0,17344.0,17203.0,16919.0,16937.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15931.0,15592.0,15367.0,15104.0,15039.0,15027.0,14849.0,14671.0,14406.0,14341.0,14114.0,13899.0,13966.0,13739.0,13734.0,13644.0,13561.0,13282.0,13163.0,13282.0,12877.0,12766.0,12753.0,12524.0,12563.0,12395.0,12282.0,12208.0
K,6,19385.0,19333.0,19182.0,19065.0,18734.0,18768.0,18500.0,18347.0,18071.0,18176.0,17963.0,17865.0,17665.0,17466.0,17344.0,17203.0,16919.0,16936.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15931.0,15591.0,15367.0,15104.0,15039.0,15027.0,14849.0,14671.0,14406.0,14341.0,14114.0,13899.0,13966.0,13739.0,13734.0,13643.0,13561.0,13282.0,13163.0,13282.0,12877.0,12765.0,12753.0,12524.0,12563.0,12395.0,12282.0
K,7,19595.0,19385.0,19333.0,19182.0,19065.0,18733.0,18768.0,18500.0,18347.0,18071.0,18176.0,17963.0,17865.0,17665.0,17466.0,17344.0,17203.0,16919.0,16936.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15931.0,15591.0,15367.0,15104.0,15039.0,15027.0,14849.0,14671.0,14406.0,14341.0,14114.0,13899.0,13966.0,13739.0,13734.0,13643.0,13561.0,13282.0,13163.0,13282.0,12877.0,12765.0,12753.0,12524.0,12562.0,12395.0
K,8,20148.0,19595.0,19384.0,19333.0,19182.0,19065.0,18733.0,18768.0,18500.0,18347.0,18071.0,18176.0,17963.0,17865.0,17664.0,17466.0,17344.0,17203.0,16919.0,16936.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15931.0,15591.0,15367.0,15104.0,15039.0,15027.0,14849.0,14671.0,14406.0,14341.0,14114.0,13899.0,13966.0,13739.0,13734.0,13643.0,13561.0,13282.0,13163.0,13282.0,12877.0,12765.0,12753.0,12524.0,12562.0
K,9,20190.0,20148.0,19595.0,19384.0,19333.0,19182.0,19065.0,18733.0,18768.0,18500.0,18347.0,18071.0,18176.0,17963.0,17865.0,17664.0,17465.0,17344.0,17203.0,16919.0,16935.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15931.0,15591.0,15367.0,15103.0,15039.0,15027.0,14849.0,14671.0,14406.0,14341.0,14114.0,13899.0,13966.0,13739.0,13734.0,13643.0,13561.0,13282.0,13163.0,13282.0,12877.0,12765.0,12753.0,12524.0
