Kjønn/Fødselskohort;Barnetall;;;;;Gjennomsnittlig barnetall
;0;1;2;3;4 barn eller flere;
Kvinnens alder 20 år;;;;;;
1935;82,6;14,9;2,4;0,1;0,0;0,20
1940;79,6;16,9;3,2;0,3;0,0;0,24
1945;78,4;17,2;4,1;0,3;0,0;0,26
1950;76,7;19,0;4,0;0,3;0,0;0,28
1955;77,4;19,7;2,8;0,1;0,0;0,26
1960;84,2;14,2;1,6;0,1;0,0;0,18
1965;88,5;10,3;1,1;0,1;0,0;0,13
1970;89,7;9,3;0,9;0,1;0,0;0,11
1975;91,5;7,6;0,8;0,1;0,0;0,09
1980;92,3;6,9;0,7;0,1;0,0;0,09
1985;93,8;5,6;0,6;0,1;0,0;0,07
1990;94,1;5,4;0,6;0,0;0,0;0,07
1995;96,3;3,3;0,4;0,0;0,0;0,04
2000;98,2;1,5;0,2;0,0;0,0;0,02
2004;98,9;1,02;0,08;0;0,0;0,01
Kvinnes alder 25 år;;;;;;
1935;36,9;31,2;24,2;6,4;1,3;1,04
1940;34,8;28,5;26,4;8,1;2,2;1,14
1945;33,3;29,4;27,3;8,2;1,8;1,16
1950;34,4;32,0;27,4;5,4;0,7;1,06
1955;43,2;30,6;22,7;3,2;0,4;0,87
1960;52,6;27,5;17,1;2,5;0,3;0,71
1965;56,8;26,6;13,9;2,3;0,3;0,63
1970;61,9;24,1;11,8;1,9;0,3;0,55
1975;68,0;20,7;9,3;1,7;0,3;0,46
1980;71,5;18,9;7,9;1,4;0,3;0,40
1985;71,7;19,0;7,7;1,3;0,3;0,39
1990;76,4;15,8;6,7;1,0;0,2;0,33
1995;83,5;11,2;4,5;0,7;0,1;0,23
1999;88,5;8,0;2,9;0,5;0,1;0,16
Kvinnes alder 30 år;;;;;;
1935;16,9;18,5;35,5;20,2;8,9;1,86
1940;15,8;16,8;36,0;22,0;9,3;1,92
1945;15,2;18,4;41,3;19,1;5,9;1,82
1950;16,9;21,1;44,8;14,3;2,9;1,65
1955;22,4;23,9;39,4;12,1;2,3;1,48
1960;26,2;25,1;34,8;11,7;2,3;1,39
1965;29,4;25,7;32,1;10,6;2,1;1,31
1970;33,8;26,2;29,1;9,0;1,9;1,19
1975;39,2;26,3;25,6;7,2;1,7;1,06
1980;41,1;27,3;23,5;6,5;1,6;1,01
1985;43,4;26,1;23,0;6,0;1,5;0,97
1990;49,9;23,8;20,3;4,9;1,1;0,84
1994;56,3;21,4;17,6;4,0;0,7;0,71
Kvinnens alder 35 år;;;;;;
1935;11,2;11,9;32,0;26,8;18,1;2,29
1940;11,0;11,3;34,2;28,0;15,4;2,26
1945;10,6;12,8;42,2;25,2;9,1;2,09
1950;11,6;15,0;45,8;21,5;6,0;1,95
1955;14,5;16,6;42,6;21,0;5,4;1,86
1960;15,9;16,7;39,3;22,0;6,1;1,87
1965;17,3;17,5;39,0;20,5;5,6;1,82
1970;19,6;18,8;38,7;18,3;4,8;1,72
1975;21,6;19,5;37,9;16,6;4,5;1,65
1980;22,8;20,9;37,4;14,9;4,0;1,58
1985;24,7;20,9;37,6;13,2;3,6;1,51
1989;28,4;20,6;35,6;12,5;3,0;1,42
Kvinnens alder 40 år;;;;;;
1935;9,8;10,5;30,4;27,4;21,8;2,41
1940;9,7;10,1;33,9;29,0;17,3;2,34
1945;9,2;11,9;41,6;26,3;11,0;2,18
1950;9,7;13,5;45,4;23,3;8,0;2,06
