år,pop_2.1
2023,5488984
2024,5512503
2025,5537485
2026,5563003
2027,5588977
2028,5614689
2029,5640936
2030,5666073
2031,5690677
2032,5714605
2033,5737448
2034,5758971
2035,5779583
2036,5798527
2037,5816051
2038,5830547
2039,5842403
2040,5852101
2041,5859448
2042,5864690
2043,5867884
2044,5869121
2045,5868762
2046,5866318
2047,5862729
2048,5856810
2049,5848708
2050,5839076
2051,5827829
2052,5814756
2053,5800701
2054,5785030
2055,5768252
2056,5751220
2057,5733159
2058,5714334
2059,5695388
2060,5676085
2061,5657157
2062,5638259
2063,5619935
2064,5601679
2065,5584602
2066,5568271
2067,5552460
2068,5537827
2069,5523919
2070,5510616
2071,5496960
2072,5482971
2073,5468484
