år,pop_1.1
2023,5488984
2024,5523932
2025,5556343
2026,5586193
2027,5613244
2028,5637708
2029,5659848
2030,5678906
2031,5695147
2032,5708134
2033,5718589
2034,5726096
2035,5731052
2036,5733039
2037,5732429
2038,5729606
2039,5724567
2040,5717774
2041,5708648
2042,5697270
2043,5683809
2044,5668539
2045,5650110
2046,5630077
2047,5608303
2048,5583928
2049,5557359
2050,5528557
2051,5498531
2052,5466328
2053,5432235
2054,5396052
2055,5358345
2056,5319005
2057,5278307
2058,5236364
2059,5192533
2060,5147560
2061,5101038
2062,5053538
2063,5004429
2064,4954310
2065,4902834
2066,4851156
2067,4798388
2068,4744661
2069,4689892
2070,4634863
2071,4579499
2072,4523258
2073,4467085
