sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,0,25310.0,26937.0,26973.0,26193.0,26042.0,25918.0,25442.0,25264.0,25107.0,24763.0,24402.0,24469.0,24191.0,23943.0,23797.0,23676.0,23602.0,23392.0,23394.0,23323.0,22983.0,22749.0,22487.0,22219.0,22119.0,21518.0,21271.0,21233.0,20768.0,20530.0,20465.0,19866.0,19830.0,19725.0,19543.0,19321.0
K,1,28037.0,25301.0,26932.0,26955.0,26185.0,26033.0,25913.0,25439.0,25251.0,25094.0,24758.0,24395.0,24463.0,24183.0,23939.0,23793.0,23672.0,23597.0,23390.0,23391.0,23320.0,22982.0,22743.0,22486.0,22217.0,22117.0,21518.0,21269.0,21232.0,20766.0,20529.0,20465.0,19866.0,19830.0,19724.0,19542.0
K,2,26820.0,28025.0,25289.0,26925.0,26946.0,26175.0,26024.0,25905.0,25430.0,25245.0,25083.0,24750.0,24385.0,24456.0,24178.0,23935.0,23788.0,23669.0,23595.0,23385.0,23389.0,23315.0,22979.0,22742.0,22483.0,22214.0,22116.0,21516.0,21269.0,21231.0,20766.0,20529.0,20463.0,19866.0,19828.0,19723.0
K,3,27466.0,26813.0,28019.0,25272.0,26915.0,26938.0,26165.0,26018.0,25897.0,25420.0,25235.0,25071.0,24743.0,24381.0,24449.0,24175.0,23929.0,23784.0,23666.0,23594.0,23383.0,23388.0,23309.0,22977.0,22739.0,22479.0,22213.0,22114.0,21516.0,21267.0,21230.0,20765.0,20529.0,20463.0,19865.0,19826.0
K,4,27692.0,27455.0,26800.0,28010.0,25262.0,26904.0,26932.0,26158.0,26000.0,25889.0,25408.0,25231.0,25067.0,24738.0,24379.0,24447.0,24168.0,23925.0,23781.0,23663.0,23591.0,23381.0,23386.0,23305.0,22973.0,22738.0,22476.0,22212.0,22114.0,21515.0,21266.0,21227.0,20763.0,20528.0,20463.0,19864.0
K,5,28546.0,27691.0,27454.0,26799.0,28009.0,25262.0,26904.0,26931.0,26158.0,26000.0,25889.0,25408.0,25231.0,25067.0,24738.0,24379.0,24447.0,24168.0,23924.0,23781.0,23663.0,23591.0,23381.0,23386.0,23305.0,22973.0,22738.0,22476.0,22212.0,22114.0,21515.0,21266.0,21227.0,20763.0,20528.0,20463.0
K,6,29714.0,28545.0,27688.0,27454.0,26799.0,28008.0,25262.0,26902.0,26931.0,26156.0,26000.0,25889.0,25408.0,25231.0,25064.0,24738.0,24378.0,24446.0,24168.0,23924.0,23781.0,23663.0,23591.0,23380.0,23386.0,23305.0,22973.0,22738.0,22476.0,22212.0,22114.0,21515.0,21266.0,21225.0,20763.0,20528.0
K,7,29958.0,29712.0,28544.0,27688.0,27451.0,26798.0,28007.0,25262.0,26902.0,26931.0,26154.0,25998.0,25888.0,25408.0,25230.0,25064.0,24738.0,24377.0,24446.0,24168.0,23924.0,23780.0,23663.0,23591.0,23380.0,23385.0,23304.0,22973.0,22738.0,22476.0,22212.0,22114.0,21515.0,21266.0,21225.0,20763.0
K,8,30221.0,29958.0,29710.0,28543.0,27686.0,27449.0,26797.0,28005.0,25261.0,26902.0,26929.0,26153.0,25995.0,25886.0,25408.0,25230.0,25064.0,24738.0,24377.0,24446.0,24168.0,23924.0,23780.0,23663.0,23591.0,23380.0,23385.0,23304.0,22973.0,22738.0,22476.0,22211.0,22114.0,21515.0,21266.0,21225.0
K,9,30613.0,30219.0,29956.0,29709.0,28543.0,27686.0,27448.0,26797.0,28004.0,25261.0,26901.0,26929.0,26153.0,25995.0,25885.0,25408.0,25230.0,25063.0,24738.0,24376.0,24445.0,24168.0,23924.0,23779.0,23663.0,23591.0,23380.0,23385.0,23304.0,22973.0,22738.0,22476.0,22211.0,22114.0,21515.0,21266.0
