sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,0,25310.0,25419.0,24378.0,23692.0,23245.0,22528.0,21843.0,21215.0,20463.0,20022.0,19424.0,18493.0,18614.0,17759.0,17339.0,17063.0,17011.0,17090.0,16983.0,16832.0,16497.0,16493.0,16269.0,16069.0,15870.0,15704.0,15121.0,14786.0,14677.0,14366.0,13882.0,13739.0,13414.0,13031.0,12659.0,12436.0,11913.0,11605.0,11368.0,11066.0,10859.0,10550.0,10291.0,10018.0,9721.0,9594.0,9403.0,9280.0,9194.0,9111.0,8891.0,8758.0,8732.0,8637.0,8402.0,8333.0,8162.0,8093.0,7876.0,7709.0,7640.0,7458.0,7077.0,7071.0,7078.0,6720.0,6610.0,6378.0,6204.0,6170.0,6019.0,5736.0,5652.0,5527.0,5322.0,5388.0,5206.0,5097.0,4900.0,5007.0,4906.0,4803.0,4589.0,4645.0,4544.0,4534.0,4467.0,4212.0,4187.0,4129.0,4053.0,4000.0,3951.0,3897.0,3877.0,3668.0,3574.0,3475.0,3489.0,3338.0,3323.0
K,1,28037.0,25290.0,25382.0,24357.0,23669.0,23219.0,22498.0,21827.0,21194.0,20444.0,19994.0,19407.0,18471.0,18593.0,17744.0,17326.0,17040.0,16997.0,17069.0,16966.0,16811.0,16481.0,16474.0,16258.0,16057.0,15857.0,15683.0,15105.0,14770.0,14665.0,14347.0,13869.0,13717.0,13403.0,13014.0,12647.0,12428.0,11901.0,11589.0,11351.0,11063.0,10847.0,10541.0,10271.0,10014.0,9711.0,9590.0,9390.0,9273.0,9189.0,9101.0,8880.0,8751.0,8726.0,8629.0,8393.0,8322.0,8155.0,8086.0,7867.0,7704.0,7633.0,7449.0,7066.0,7065.0,7067.0,6713.0,6604.0,6373.0,6201.0,6164.0,6007.0,5733.0,5647.0,5520.0,5318.0,5385.0,5200.0,5091.0,4896.0,5003.0,4902.0,4794.0,4584.0,4642.0,4540.0,4529.0,4464.0,4207.0,4185.0,4127.0,4051.0,3996.0,3951.0,3892.0,3868.0,3660.0,3570.0,3469.0,3483.0,3333.0
K,2,26820.0,28009.0,25263.0,25358.0,24326.0,23651.0,23196.0,22472.0,21809.0,21180.0,20415.0,19966.0,19389.0,18448.0,18582.0,17729.0,17306.0,17027.0,16981.0,17056.0,16947.0,16795.0,16466.0,16453.0,16241.0,16040.0,15838.0,15668.0,15094.0,14749.0,14653.0,14331.0,13859.0,13702.0,13390.0,13007.0,12640.0,12410.0,11891.0,11573.0,11341.0,11049.0,10838.0,10525.0,10261.0,10003.0,9705.0,9586.0,9383.0,9262.0,9179.0,9091.0,8876.0,8740.0,8723.0,8627.0,8382.0,8314.0,8149.0,8079.0,7859.0,7694.0,7629.0,7441.0,7058.0,7056.0,7062.0,6705.0,6601.0,6366.0,6194.0,6155.0,6004.0,5727.0,5640.0,5514.0,5312.0,5381.0,5195.0,5087.0,4892.0,5002.0,4898.0,4790.0,4582.0,4639.0,4533.0,4526.0,4463.0,4203.0,4180.0,4123.0,4045.0,3993.0,3950.0,3889.0,3864.0,3656.0,3567.0,3465.0,3482.0
K,3,27466.0,26790.0,27975.0,25247.0,25332.0,24298.0,23623.0,23171.0,22445.0,21781.0,21154.0,20391.0,19949.0,19366.0,18436.0,18566.0,17709.0,17291.0,17016.0,16970.0,17045.0,16938.0,16783.0,16448.0,16437.0,16227.0,16027.0,15821.0,15651.0,15074.0,14734.0,14634.0,14319.0,13845.0,13687.0,13376.0,12993.0,12628.0,12397.0,11881.0,11559.0,11325.0,11035.0,10825.0,10516.0,10250.0,9995.0,9692.0,9572.0,9370.0,9254.0,9167.0,9085.0,8869.0,8733.0,8708.0,8618.0,8373.0,8308.0,8139.0,8073.0,7853.0,7688.0,7619.0,7436.0,7051.0,7051.0,7054.0,6698.0,6597.0,6359.0,6191.0,6150.0,5999.0,5719.0,5635.0,5510.0,5309.0,5375.0,5193.0,5085.0,4887.0,4998.0,4894.0,4785.0,4577.0,4628.0,4530.0,4523.0,4459.0,4198.0,4176.0,4118.0,4043.0,3988.0,3945.0,3885.0,3859.0,3654.0,3564.0,3462.0
K,4,27692.0,27448.0,26771.0,27937.0,25208.0,25305.0,24272.0,23608.0,23152.0,22425.0,21762.0,21127.0,20368.0,19930.0,19347.0,18421.0,18546.0,17690.0,17270.0,16997.0,16953.0,17026.0,16920.0,16771.0,16426.0,16422.0,16206.0,16015.0,15800.0,15626.0,15061.0,14720.0,14620.0,14309.0,13831.0,13677.0,13361.0,12974.0,12620.0,12384.0,11871.0,11544.0,11314.0,11030.0,10814.0,10507.0,10234.0,9987.0,9686.0,9565.0,9358.0,9241.0,9158.0,9076.0,8859.0,8726.0,8694.0,8613.0,8367.0,8299.0,8123.0,8067.0,7841.0,7684.0,7607.0,7429.0,7044.0,7044.0,7041.0,6688.0,6590.0,6347.0,6186.0,6142.0,5988.0,5713.0,5626.0,5507.0,5306.0,5368.0,5185.0,5081.0,4882.0,4991.0,4887.0,4782.0,4574.0,4624.0,4525.0,4518.0,4455.0,4195.0,4174.0,4116.0,4040.0,3985.0,3940.0,3881.0,3856.0,3649.0,3557.0
K,5,28546.0,27670.0,27427.0,26745.0,27912.0,25182.0,25292.0,24239.0,23582.0,23130.0,22393.0,21737.0,21114.0,20351.0,19908.0,19327.0,18395.0,18534.0,17677.0,17254.0,16982.0,16938.0,17015.0,16899.0,16753.0,16411.0,16410.0,16181.0,15994.0,15782.0,15604.0,15049.0,14709.0,14604.0,14297.0,13822.0,13662.0,13350.0,12949.0,12607.0,12375.0,11862.0,11532.0,11298.0,11021.0,10802.0,10497.0,10222.0,9975.0,9675.0,9552.0,9348.0,9233.0,9151.0,9067.0,8846.0,8717.0,8686.0,8607.0,8361.0,8287.0,8118.0,8061.0,7834.0,7675.0,7597.0,7422.0,7036.0,7038.0,7030.0,6686.0,6582.0,6340.0,6175.0,6134.0,5984.0,5707.0,5621.0,5500.0,5300.0,5361.0,5182.0,5077.0,4880.0,4987.0,4886.0,4774.0,4567.0,4621.0,4520.0,4511.0,4449.0,4191.0,4165.0,4109.0,4035.0,3982.0,3935.0,3881.0,3854.0,3646.0
K,6,29714.0,28517.0,27637.0,27393.0,26712.0,27888.0,25157.0,25276.0,24214.0,23561.0,23106.0,22368.0,21721.0,21091.0,20335.0,19889.0,19305.0,18368.0,18518.0,17663.0,17240.0,16971.0,16923.0,16997.0,16881.0,16735.0,16391.0,16400.0,16162.0,15971.0,15764.0,15588.0,15036.0,14691.0,14592.0,14282.0,13810.0,13651.0,13343.0,12936.0,12592.0,12363.0,11843.0,11522.0,11286.0,11008.0,10787.0,10492.0,10212.0,9964.0,9667.0,9542.0,9338.0,9221.0,9141.0,9056.0,8837.0,8703.0,8681.0,8599.0,8354.0,8276.0,8108.0,8050.0,7826.0,7670.0,7592.0,7418.0,7029.0,7033.0,7024.0,6678.0,6576.0,6337.0,6166.0,6126.0,5980.0,5703.0,5616.0,5492.0,5292.0,5356.0,5180.0,5070.0,4878.0,4985.0,4884.0,4771.0,4565.0,4617.0,4517.0,4507.0,4446.0,4188.0,4162.0,4102.0,4035.0,3980.0,3934.0,3875.0,3851.0
K,7,29958.0,29684.0,28477.0,27608.0,27361.0,26682.0,27864.0,25135.0,25243.0,24194.0,23541.0,23085.0,22349.0,21703.0,21066.0,20315.0,19871.0,19286.0,18347.0,18502.0,17648.0,17226.0,16963.0,16904.0,16982.0,16869.0,16716.0,16374.0,16395.0,16143.0,15960.0,15741.0,15574.0,15018.0,14674.0,14577.0,14269.0,13800.0,13639.0,13332.0,12924.0,12581.0,12348.0,11829.0,11512.0,11274.0,10995.0,10775.0,10481.0,10204.0,9952.0,9660.0,9520.0,9330.0,9211.0,9128.0,9045.0,8830.0,8692.0,8672.0,8592.0,8344.0,8267.0,8103.0,8046.0,7819.0,7661.0,7584.0,7416.0,7022.0,7029.0,7017.0,6674.0,6565.0,6330.0,6159.0,6118.0,5975.0,5697.0,5609.0,5486.0,5284.0,5353.0,5176.0,5064.0,4873.0,4977.0,4881.0,4763.0,4560.0,4607.0,4510.0,4501.0,4444.0,4185.0,4156.0,4100.0,4030.0,3973.0,3928.0,3870.0
K,8,30221.0,29912.0,29654.0,28465.0,27579.0,27336.0,26649.0,27843.0,25101.0,25222.0,24171.0,23514.0,23066.0,22320.0,21686.0,21047.0,20298.0,19855.0,19264.0,18325.0,18484.0,17629.0,17210.0,16946.0,16885.0,16963.0,16853.0,16709.0,16353.0,16386.0,16126.0,15946.0,15733.0,15566.0,14992.0,14654.0,14564.0,14262.0,13784.0,13628.0,13321.0,12917.0,12571.0,12339.0,11819.0,11502.0,11265.0,10978.0,10765.0,10472.0,10202.0,9945.0,9652.0,9510.0,9326.0,9199.0,9119.0,9034.0,8820.0,8684.0,8667.0,8586.0,8337.0,8260.0,8095.0,8040.0,7812.0,7654.0,7578.0,7405.0,7017.0,7023.0,7013.0,6666.0,6559.0,6321.0,6155.0,6115.0,5970.0,5688.0,5602.0,5483.0,5276.0,5350.0,5170.0,5058.0,4866.0,4971.0,4876.0,4754.0,4557.0,4606.0,4502.0,4497.0,4440.0,4181.0,4153.0,4095.0,4028.0,3967.0,3921.0
K,9,30613.0,30190.0,29883.0,29617.0,28447.0,27549.0,27307.0,26619.0,27818.0,25074.0,25198.0,24141.0,23497.0,23042.0,22307.0,21671.0,21028.0,20280.0,19831.0,19246.0,18301.0,18465.0,17608.0,17195.0,16930.0,16877.0,16947.0,16843.0,16699.0,16332.0,16373.0,16116.0,15935.0,15715.0,15559.0,14976.0,14644.0,14555.0,14252.0,13764.0,13613.0,13312.0,12907.0,12560.0,12330.0,11809.0,11480.0,11258.0,10957.0,10754.0,10457.0,10189.0,9931.0,9642.0,9499.0,9319.0,9188.0,9114.0,9021.0,8815.0,8676.0,8656.0,8577.0,8328.0,8253.0,8084.0,8034.0,7804.0,7641.0,7573.0,7391.0,7014.0,7018.0,7007.0,6658.0,6556.0,6319.0,6148.0,6110.0,5966.0,5683.0,5598.0,5479.0,5272.0,5347.0,5167.0,5055.0,4865.0,4966.0,4871.0,4750.0,4554.0,4595.0,4498.0,4490.0,4436.0,4175.0,4150.0,4089.0,4024.0,3962.0
