sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078
K,0,23788.0,23620.0,25231.0,27213.0,28636.0,30162.0,31779.0,31347.0,31329.0,30593.0,30293.0,29629.0,29347.0,28860.0,28466.0,28039.0,27801.0,27314.0,26972.0,26848.0,26596.0,26374.0,26193.0,25751.0,25627.0,25686.0,25384.0,25469.0,25542.0,25874.0,25883.0,26530.0,26894.0,27151.0,27605.0,28510.0,28743.0,29133.0,29475.0,29538.0,30020.0
K,1,23820.0,23782.0,23618.0,25227.0,27209.0,28632.0,30156.0,31775.0,31345.0,31324.0,30590.0,30289.0,29627.0,29346.0,28859.0,28466.0,28037.0,27800.0,27314.0,26969.0,26847.0,26596.0,26371.0,26193.0,25751.0,25627.0,25686.0,25384.0,25469.0,25541.0,25873.0,25881.0,26529.0,26893.0,27149.0,27605.0,28510.0,28742.0,29133.0,29474.0,29538.0
K,2,23748.0,23818.0,23780.0,23613.0,25218.0,27206.0,28625.0,30153.0,31775.0,31341.0,31320.0,30587.0,30287.0,29626.0,29342.0,28855.0,28465.0,28037.0,27798.0,27313.0,26964.0,26844.0,26593.0,26371.0,26192.0,25748.0,25625.0,25686.0,25383.0,25468.0,25541.0,25872.0,25881.0,26528.0,26892.0,27148.0,27605.0,28509.0,28742.0,29133.0,29474.0
K,3,23927.0,23744.0,23817.0,23776.0,23610.0,25212.0,27204.0,28625.0,30150.0,31771.0,31337.0,31317.0,30584.0,30285.0,29624.0,29340.0,28855.0,28465.0,28035.0,27795.0,27312.0,26964.0,26844.0,26590.0,26369.0,26192.0,25745.0,25623.0,25685.0,25383.0,25468.0,25539.0,25872.0,25880.0,26528.0,26892.0,27145.0,27602.0,28507.0,28741.0,29132.0
K,4,24298.0,23925.0,23741.0,23811.0,23773.0,23609.0,25208.0,27203.0,28619.0,30144.0,31769.0,31336.0,31317.0,30583.0,30284.0,29624.0,29338.0,28854.0,28462.0,28033.0,27792.0,27312.0,26964.0,26843.0,26590.0,26366.0,26190.0,25742.0,25623.0,25683.0,25383.0,25465.0,25538.0,25872.0,25879.0,26527.0,26891.0,27145.0,27600.0,28506.0,28740.0
K,5,24702.0,24297.0,23925.0,23741.0,23811.0,23773.0,23609.0,25208.0,27202.0,28619.0,30144.0,31769.0,31336.0,31317.0,30582.0,30284.0,29624.0,29338.0,28854.0,28462.0,28033.0,27791.0,27312.0,26964.0,26843.0,26590.0,26366.0,26190.0,25742.0,25623.0,25683.0,25383.0,25465.0,25538.0,25872.0,25879.0,26527.0,26891.0,27145.0,27600.0,28506.0
K,6,24684.0,24701.0,24297.0,23925.0,23741.0,23811.0,23773.0,23609.0,25207.0,27202.0,28619.0,30144.0,31769.0,31336.0,31317.0,30582.0,30284.0,29624.0,29337.0,28853.0,28462.0,28033.0,27791.0,27312.0,26964.0,26843.0,26590.0,26366.0,26190.0,25741.0,25623.0,25683.0,25383.0,25465.0,25538.0,25872.0,25879.0,26527.0,26891.0,27145.0,27600.0
K,7,25012.0,24683.0,24701.0,24297.0,23925.0,23741.0,23811.0,23772.0,23609.0,25206.0,27202.0,28619.0,30144.0,31768.0,31336.0,31317.0,30582.0,30283.0,29624.0,29337.0,28852.0,28461.0,28033.0,27791.0,27312.0,26964.0,26842.0,26590.0,26366.0,26190.0,25741.0,25623.0,25683.0,25383.0,25465.0,25538.0,25872.0,25879.0,26527.0,26891.0,27144.0
K,8,25373.0,25011.0,24683.0,24700.0,24297.0,23924.0,23741.0,23811.0,23770.0,23609.0,25206.0,27202.0,28618.0,30144.0,31768.0,31335.0,31317.0,30582.0,30283.0,29624.0,29337.0,28852.0,28461.0,28031.0,27791.0,27312.0,26964.0,26842.0,26590.0,26366.0,26189.0,25741.0,25623.0,25682.0,25383.0,25465.0,25538.0,25871.0,25879.0,26527.0,26891.0
K,9,25498.0,25371.0,25011.0,24683.0,24700.0,24297.0,23924.0,23740.0,23811.0,23770.0,23608.0,25206.0,27201.0,28618.0,30144.0,31768.0,31335.0,31317.0,30582.0,30283.0,29624.0,29337.0,28852.0,28461.0,28031.0,27791.0,27312.0,26964.0,26842.0,26590.0,26366.0,26188.0,25740.0,25622.0,25682.0,25383.0,25465.0,25537.0,25871.0,25879.0,26527.0
