sex,alder,pop_2023,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113
K,0,18502.0,13336.0,13395.0,13316.0,13146.0,13052.0,12837.0,12950.0,12747.0,12592.0,12551.0,12660.0,12219.0,12168.0,11983.0,11945.0,11838.0,11953.0,11551.0,11511.0,11334.0,11286.0,11082.0,10767.0,10810.0,10489.0,10495.0,9949.0,9815.0,9556.0,9408.0,9038.0,8711.0,8520.0,8138.0,7943.0,7678.0,7489.0,7267.0,7213.0,7038.0,6997.0,6814.0,6791.0,6759.0,6645.0,6592.0,6477.0,6401.0,6315.0,6263.0
K,1,18768.0,18502.0,13336.0,13395.0,13315.0,13146.0,13052.0,12835.0,12950.0,12745.0,12591.0,12551.0,12660.0,12218.0,12168.0,11982.0,11945.0,11838.0,11953.0,11551.0,11511.0,11333.0,11286.0,11082.0,10767.0,10810.0,10489.0,10494.0,9949.0,9815.0,9556.0,9407.0,9038.0,8711.0,8520.0,8138.0,7943.0,7678.0,7488.0,7267.0,7213.0,7038.0,6997.0,6814.0,6791.0,6759.0,6645.0,6592.0,6476.0,6401.0,6315.0
K,2,18734.0,18767.0,18501.0,13335.0,13395.0,13314.0,13144.0,13052.0,12835.0,12948.0,12745.0,12591.0,12551.0,12660.0,12218.0,12168.0,11981.0,11945.0,11838.0,11952.0,11550.0,11510.0,11332.0,11286.0,11081.0,10767.0,10809.0,10486.0,10494.0,9948.0,9815.0,9556.0,9407.0,9037.0,8710.0,8520.0,8138.0,7943.0,7678.0,7488.0,7267.0,7213.0,7038.0,6997.0,6814.0,6791.0,6759.0,6645.0,6592.0,6476.0,6401.0
K,3,19065.0,18734.0,18767.0,18500.0,13334.0,13395.0,13314.0,13144.0,13052.0,12833.0,12948.0,12745.0,12591.0,12550.0,12660.0,12216.0,12167.0,11981.0,11945.0,11838.0,11952.0,11549.0,11510.0,11332.0,11286.0,11080.0,10767.0,10809.0,10486.0,10494.0,9948.0,9814.0,9556.0,9407.0,9037.0,8709.0,8519.0,8138.0,7943.0,7678.0,7488.0,7267.0,7213.0,7038.0,6997.0,6814.0,6791.0,6759.0,6645.0,6592.0,6476.0
K,4,19182.0,19063.0,18734.0,18764.0,18498.0,13334.0,13395.0,13314.0,13144.0,13051.0,12832.0,12946.0,12745.0,12591.0,12549.0,12660.0,12216.0,12167.0,11981.0,11945.0,11837.0,11952.0,11549.0,11510.0,11332.0,11286.0,11079.0,10766.0,10809.0,10485.0,10494.0,9947.0,9814.0,9556.0,9404.0,9037.0,8709.0,8519.0,8138.0,7943.0,7678.0,7488.0,7267.0,7213.0,7038.0,6997.0,6814.0,6791.0,6759.0,6645.0,6592.0
K,5,19333.0,19182.0,19063.0,18734.0,18763.0,18498.0,13334.0,13394.0,13314.0,13144.0,13051.0,12832.0,12946.0,12745.0,12591.0,12549.0,12660.0,12216.0,12167.0,11981.0,11945.0,11837.0,11952.0,11549.0,11510.0,11332.0,11286.0,11079.0,10766.0,10809.0,10485.0,10494.0,9947.0,9814.0,9556.0,9404.0,9037.0,8709.0,8519.0,8138.0,7943.0,7678.0,7488.0,7267.0,7213.0,7038.0,6997.0,6814.0,6791.0,6759.0,6645.0
K,6,19385.0,19333.0,19182.0,19063.0,18734.0,18763.0,18498.0,13334.0,13394.0,13314.0,13144.0,13051.0,12832.0,12946.0,12745.0,12591.0,12549.0,12660.0,12216.0,12167.0,11981.0,11945.0,11837.0,11952.0,11549.0,11510.0,11332.0,11286.0,11079.0,10766.0,10809.0,10485.0,10494.0,9947.0,9814.0,9556.0,9404.0,9037.0,8708.0,8519.0,8138.0,7943.0,7678.0,7488.0,7267.0,7213.0,7038.0,6997.0,6814.0,6791.0,6759.0
K,7,19595.0,19385.0,19333.0,19182.0,19063.0,18734.0,18763.0,18498.0,13334.0,13394.0,13314.0,13144.0,13051.0,12832.0,12946.0,12745.0,12591.0,12549.0,12660.0,12216.0,12167.0,11981.0,11945.0,11837.0,11952.0,11549.0,11510.0,11332.0,11286.0,11079.0,10766.0,10809.0,10485.0,10494.0,9947.0,9814.0,9556.0,9404.0,9037.0,8708.0,8519.0,8138.0,7943.0,7678.0,7488.0,7267.0,7213.0,7038.0,6997.0,6814.0,6791.0
K,8,20148.0,19595.0,19384.0,19333.0,19182.0,19063.0,18734.0,18763.0,18498.0,13334.0,13394.0,13314.0,13144.0,13051.0,12832.0,12946.0,12745.0,12591.0,12549.0,12660.0,12216.0,12167.0,11981.0,11945.0,11837.0,11952.0,11549.0,11510.0,11332.0,11286.0,11079.0,10766.0,10809.0,10485.0,10494.0,9947.0,9814.0,9556.0,9404.0,9037.0,8708.0,8519.0,8138.0,7943.0,7678.0,7488.0,7267.0,7213.0,7038.0,6997.0,6814.0
K,9,20190.0,20148.0,19595.0,19384.0,19333.0,19182.0,19063.0,18734.0,18763.0,18498.0,13334.0,13394.0,13314.0,13144.0,13051.0,12832.0,12946.0,12745.0,12591.0,12549.0,12660.0,12216.0,12167.0,11981.0,11945.0,11837.0,11952.0,11549.0,11510.0,11332.0,11286.0,11079.0,10765.0,10809.0,10485.0,10494.0,9947.0,9814.0,9556.0,9404.0,9037.0,8708.0,8519.0,8138.0,7943.0,7678.0,7488.0,7267.0,7213.0,7038.0,6997.0
