sex,alder,barn
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
M,100.0,0.0
