,år,pop_1.3,pop_2.1
0,2023,5488984,5488984
1,2024,5519845,5548482
2,2025,5550653,5607625
3,2026,5559437,5644133
4,2027,5567918,5680021
5,2028,5576070,5714948
6,2029,5583860,5749306
7,2030,5591549,5782991
8,2031,5598920,5815990
9,2032,5605706,5847843
10,2033,5612262,5879118
11,2034,5618458,5909461
12,2035,5623823,5938964
13,2036,5628238,5967213
14,2037,5631744,5994497
15,2038,5634226,6020314
16,2039,5636098,6045145
17,2040,5637396,6069299
18,2041,5637891,6092531
19,2042,5637772,6115145
20,2043,5637137,6136976
21,2044,5635757,6157857
22,2045,5633449,6177679
23,2046,5629958,6196588
24,2047,5625256,6214470
25,2048,5619265,6231617
26,2049,5612111,6248143
27,2050,5603438,6264534
28,2051,5593244,6280731
29,2052,5581743,6296990
30,2053,5568775,6313406
31,2054,5554231,6330077
32,2055,5537966,6347062
33,2056,5519871,6364200
34,2057,5500172,6381377
35,2058,5478723,6398380
36,2059,5455705,6415034
37,2060,5431012,6431013
38,2061,5404855,6445962
39,2062,5377472,6460176
40,2063,5348938,6473635
41,2064,5319546,6486150
42,2065,5289398,6497951
43,2066,5258706,6508635
44,2067,5227577,6519044
45,2068,5196326,6528928
46,2069,5164927,6538290
47,2070,5133275,6547011
48,2071,5101084,6555119
49,2072,5068425,6562356
50,2073,5035054,6569006
51,2074,5000853,6574871
52,2075,4966134,6580083
53,2076,4930671,6584927
54,2077,4894287,6589176
55,2078,4856867,6592890
56,2079,4818615,6596189
57,2080,4778984,6599048
58,2081,4738184,6601629
59,2082,4696222,6603928
60,2083,4653373,6606615
61,2084,4609857,6609503
62,2085,4565944,6613137
63,2086,4521804,6617561
64,2087,4477626,6622625
65,2088,4433109,6628633
66,2089,4388883,6635349
67,2090,4344879,6642894
68,2091,4300971,6651490
69,2092,4257286,6660550
70,2093,4214173,6670289
71,2094,4171652,6680419
72,2095,4129339,6691039
73,2096,4086974,6701951
74,2097,4044631,6712678
75,2098,4002189,6723216
76,2099,3959471,6733356
77,2100,3916419,6743149
78,2101,3872911,6752374
79,2102,3829214,6761198
80,2103,3785631,6769975
81,2104,3742178,6778840
82,2105,3699135,6787770
83,2106,3656305,6796602
84,2107,3613736,6805467
85,2108,3571466,6814548
86,2109,3529566,6824034
87,2110,3488177,6833890
88,2111,3447234,6844177
89,2112,3406964,6854767
90,2113,3366862,6865523
91,2114,3327600,6876721
92,2115,3289631,6886809
93,2116,3252734,6895821
94,2117,3216644,6904110
95,2118,3181223,6912326
96,2119,3146379,6920350
97,2120,3112048,6928417
98,2121,3078052,6936216
99,2122,3044447,6944016
100,2123,3011130,6952143
