år,pop_1.5
2023,54891
2024,58978
2025,63071
2026,67163
2027,71258
2028,75354
2029,79451
2030,83542
2031,87636
2032,91731
2033,95828
2034,99916
2035,104007
2036,108097
2037,112194
2038,116294
2039,120389
2040,124481
2041,128573
2042,132661
2043,136749
2044,140846
2045,144926
2046,149007
2047,153087
2048,157158
2049,161220
2050,165278
2051,169320
2052,173367
2053,177399
2054,181420
2055,185434
2056,189450
2057,193463
2058,197473
2059,201474
2060,205469
2061,209431
2062,213341
2063,217221
2064,221062
2065,224856
2066,228600
2067,232298
2068,235937
2069,239526
2070,243055
2071,246557
2072,250001
2073,253381
2074,256718
2075,260010
2076,263269
2077,266488
2078,269651
2079,272759
2080,275822
2081,278837
2082,281811
2083,284770
2084,287701
2085,290603
2086,293460
2087,296298
2088,299106
2089,301871
2090,304617
2091,307336
2092,310026
2093,312704
2094,315384
2095,318062
2096,320685
2097,323281
2098,325868
2099,328427
2100,330918
2101,333382
2102,335793
2103,338168
2104,340544
2105,342905
2106,345226
2107,347519
2108,349775
2109,352036
2110,354248
2111,356458
2112,358659
2113,360818
2114,362952
2115,365045
2116,367134
2117,369250
2118,371354
2119,373426
2120,375454
2121,377484
2122,379501
2123,381504
