,år,pop_1.5
0,2023,5488984
1,2024,5527069
2,2025,5565025
3,2026,5580571
4,2027,5595898
5,2028,5610666
6,2029,5625129
7,2030,5639301
8,2031,5652881
9,2032,5665940
10,2033,5678707
0,2033,5488984
1,2034,5691005
2,2035,5702398
3,2036,5713022
4,2037,5722701
5,2038,5731314
6,2039,5738990
7,2040,5745878
8,2041,5752316
9,2042,5757932
10,2043,5762934
0,2043,5488984
1,2044,5767049
2,2045,5770230
3,2046,5772334
4,2047,5773526
5,2048,5773160
6,2049,5771957
7,2050,5769304
8,2051,5765623
9,2052,5760740
10,2053,5754683
0,2053,5488984
1,2054,5747407
2,2055,5738760
3,2056,5728597
4,2057,5716831
5,2058,5703780
6,2059,5689252
7,2060,5673264
8,2061,5655924
9,2062,5637558
10,2063,5617991
0,2063,5488984
1,2064,5597505
2,2065,5576336
3,2066,5554596
4,2067,5532334
5,2068,5509881
6,2069,5487344
7,2070,5464332
8,2071,5440690
9,2072,5416412
10,2073,5391517
0,2073,5488984
1,2074,5365865
2,2075,5339537
3,2076,5312363
4,2077,5284301
5,2078,5255352
6,2079,5225549
7,2080,5194554
8,2081,5162376
9,2082,5129279
10,2083,5095267
0,2083,5488984
1,2084,5060689
2,2085,5025880
3,2086,4990936
4,2087,4956086
5,2088,4921107
6,2089,4886323
7,2090,4851757
8,2091,4817491
9,2092,4783390
10,2093,4749714
0,2093,5488984
1,2094,4716544
2,2095,4683732
3,2096,4650896
4,2097,4618139
5,2098,4585108
6,2099,4551874
7,2100,4518238
8,2101,4484146
9,2102,4449994
10,2103,4415763
0,2103,5488984
1,2104,4381755
2,2105,4347842
3,2106,4314017
4,2107,4280309
5,2108,4246806
6,2109,4213752
7,2110,4181140
8,2111,4148861
9,2112,4117153
10,2113,4085497
0,2113,5488984
1,2114,4054391
2,2115,4023354
3,2116,3992633
4,2117,3962176
5,2118,3931835
6,2119,3901617
7,2120,3871633
8,2121,3841684
9,2122,3811991
10,2123,3782417
