sex,alder,pop_2023
K,0,25310.0
K,1,28037.0
K,2,26820.0
K,3,27466.0
K,4,27692.0
K,5,28546.0
K,6,29714.0
K,7,29958.0
K,8,30221.0
K,9,30613.0
K,10,31377.0
K,11,31526.0
K,12,32628.0
K,13,33044.0
K,14,32594.0
K,15,31915.0
K,16,32102.0
K,17,31505.0
K,18,31573.0
K,19,31441.0
K,20,31111.0
K,21,31588.0
K,22,32878.0
K,23,33088.0
K,24,33364.0
K,25,34378.0
K,26,35747.0
K,27,35920.0
K,28,36385.0
K,29,36994.0
K,30,37694.0
K,31,38587.0
K,32,39395.0
K,33,38889.0
K,34,38601.0
K,35,37403.0
K,36,36743.0
K,37,36160.0
K,38,35848.0
K,39,35243.0
K,40,35525.0
K,41,34990.0
K,42,35089.0
K,43,34563.0
K,44,34236.0
K,45,33520.0
K,46,34033.0
K,47,35177.0
K,48,36600.0
K,49,36215.0
K,50,37446.0
K,51,37536.0
K,52,37024.0
K,53,37660.0
K,54,37209.0
K,55,36217.0
K,56,35480.0
K,57,34879.0
K,58,34275.0
K,59,33194.0
K,60,32018.0
K,61,31506.0
K,62,31028.0
K,63,30842.0
K,64,30683.0
K,65,29874.0
K,66,30085.0
K,67,29117.0
K,68,28485.0
K,69,27981.0
K,70,27198.0
K,71,25526.0
K,72,25882.0
K,73,25567.0
K,74,25427.0
K,75,25805.0
K,76,26208.0
K,77,23006.0
K,78,21550.0
K,79,18625.0
K,80,16927.0
K,81,14386.0
K,82,14292.0
K,83,13203.0
K,84,12100.0
K,85,10731.0
K,86,9731.0
K,87,8566.0
K,88,7676.0
K,89,6899.0
K,90,6430.0
K,91,5648.0
K,92,4751.0
K,93,3747.0
K,94,3013.0
K,95,2297.0
K,96,1797.0
K,97,1313.0
K,98,991.0
K,99,597.0
K,100,423.0
K,101,256.0
K,102,164.0
K,103,82.0
K,104,39.0
K,105,76.0
K,106,
K,107,
K,108,
K,109,
M,0,26681.0
M,1,29378.0
M,2,27958.0
M,3,28989.0
M,4,29454.0
M,5,30339.0
M,6,31761.0
M,7,31747.0
M,8,31877.0
M,9,31832.0
M,10,33040.0
M,11,33476.0
M,12,34255.0
M,13,34985.0
M,14,34749.0
M,15,33731.0
M,16,33891.0
M,17,32980.0
M,18,33334.0
M,19,32888.0
M,20,32354.0
M,21,33404.0
M,22,35241.0
M,23,35569.0
M,24,35369.0
M,25,36562.0
M,26,37633.0
M,27,37911.0
M,28,38057.0
M,29,38611.0
M,30,39820.0
M,31,40282.0
M,32,40727.0
M,33,40275.0
M,34,40075.0
M,35,38393.0
M,36,38662.0
M,37,37985.0
M,38,37174.0
M,39,37362.0
M,40,37429.0
M,41,36190.0
M,42,36976.0
M,43,36250.0
M,44,36012.0
M,45,34884.0
M,46,35776.0
M,47,36463.0
M,48,37822.0
M,49,38079.0
M,50,39204.0
M,51,38960.0
M,52,38530.0
M,53,39127.0
M,54,38711.0
M,55,37445.0
M,56,37508.0
M,57,36634.0
M,58,35796.0
M,59,33856.0
M,60,33238.0
M,61,32420.0
M,62,31875.0
M,63,31627.0
M,64,30857.0
M,65,29861.0
M,66,29798.0
M,67,28764.0
M,68,27721.0
M,69,26980.0
M,70,26474.0
M,71,25160.0
M,72,25075.0
M,73,24671.0
M,74,24612.0
M,75,24288.0
M,76,24418.0
M,77,20835.0
M,78,19491.0
M,79,16617.0
M,80,14484.0
M,81,11843.0
M,82,11475.0
M,83,10253.0
M,84,9065.0
M,85,7812.0
M,86,6657.0
M,87,5523.0
M,88,4721.0
M,89,4033.0
M,90,3616.0
M,91,2747.0
M,92,2294.0
M,93,1703.0
M,94,1256.0
M,95,887.0
M,96,692.0
M,97,469.0
M,98,286.0
M,99,174.0
M,100,95.0
M,101,54.0
M,102,32.0
M,103,21.0
M,104,5.0
M,105,28.0
M,106,
M,107,
M,108,
M,109,
