sex,alder,pop_2023,pop_2024,pop_2025,pop_2026
K,0,25310.0,38059.0,37755.0,37537.0
K,1,28037.0,25502.0,38273.0,37844.0
K,2,26820.0,28226.0,25672.0,38361.0
K,3,27466.0,27023.0,28430.0,25766.0
K,4,27692.0,27661.0,27205.0,28512.0
K,5,28546.0,27947.0,27886.0,27311.0
K,6,29714.0,28793.0,28160.0,27982.0
K,7,29958.0,29950.0,29012.0,28266.0
K,8,30221.0,30183.0,30182.0,29120.0
K,9,30613.0,30468.0,30403.0,30290.0
K,10,31377.0,30872.0,30715.0,30510.0
K,11,31526.0,31592.0,31134.0,30812.0
K,12,32628.0,31791.0,31829.0,31232.0
K,13,33044.0,32864.0,32026.0,31925.0
K,14,32594.0,33281.0,33086.0,32118.0
K,15,31915.0,32831.0,33502.0,33192.0
K,16,32102.0,32131.0,33079.0,33614.0
K,17,31505.0,32353.0,32371.0,33196.0
K,18,31573.0,31741.0,32584.0,32467.0
K,19,31441.0,31800.0,31984.0,32689.0
K,20,31111.0,31673.0,32040.0,32081.0
K,21,31588.0,31342.0,31944.0,32156.0
K,22,32878.0,31824.0,31580.0,32039.0
K,23,33088.0,33119.0,32061.0,31694.0
K,24,33364.0,33347.0,33372.0,32176.0
K,25,34378.0,33629.0,33614.0,33489.0
K,26,35747.0,34641.0,33878.0,33719.0
K,27,35920.0,36014.0,34921.0,33985.0
K,28,36385.0,36192.0,36274.0,35041.0
K,29,36994.0,36632.0,36468.0,36392.0
K,30,37694.0,37264.0,36910.0,36590.0
K,31,38587.0,37953.0,37567.0,37040.0
K,32,39395.0,38876.0,38215.0,37683.0
K,33,38889.0,39704.0,39183.0,38389.0
K,34,38601.0,39142.0,39982.0,39317.0
K,35,37403.0,38882.0,39432.0,40114.0
K,36,36743.0,37663.0,39177.0,39567.0
K,37,36160.0,37002.0,37911.0,39313.0
K,38,35848.0,36431.0,37297.0,38025.0
K,39,35243.0,36112.0,36720.0,37411.0
K,40,35525.0,35500.0,36374.0,36842.0
K,41,34990.0,35804.0,35759.0,36491.0
K,42,35089.0,35237.0,36061.0,35871.0
K,43,34563.0,35362.0,35534.0,36194.0
