sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,0,25310.0,37445.0,37680.0,37405.0,37329.0,36887.0,36435.0,36125.0,35999.0,35702.0,35604.0,35284.0,35252.0,34781.0,34803.0,34617.0,34436.0,34578.0,34516.0,34546.0,34424.0,34015.0,33538.0,33843.0,33837.0,33736.0,33674.0,33859.0,34272.0,34795.0,35196.0,35888.0,36505.0,37304.0,37696.0,38332.0,38847.0,39055.0,39049.0,38912.0,39157.0,39035.0,38925.0,38526.0,38629.0,38479.0,37947.0,38326.0,38010.0,37712.0,37269.0,37547.0,37384.0,37398.0,37653.0,37898.0,37580.0,38153.0,37794.0,38204.0,38666.0,38797.0,39111.0,39472.0,39751.0,40085.0,40497.0,40637.0,41160.0,41412.0,41352.0,41489.0,40987.0,41276.0,41097.0,40969.0,41276.0,40955.0,40788.0,40638.0,40372.0,40667.0,40432.0,40370.0,40372.0,40220.0,40363.0,40628.0,40876.0,40838.0,40896.0,40685.0,41175.0,41723.0,41780.0,42115.0,42429.0,42578.0,42522.0,42540.0,42840.0
K,1,28037.0,25519.0,37655.0,37777.0,37491.0,37424.0,36975.0,36513.0,36225.0,36075.0,35789.0,35672.0,35349.0,35340.0,34852.0,34890.0,34697.0,34533.0,34645.0,34589.0,34625.0,34489.0,34096.0,33626.0,33900.0,33905.0,33813.0,33749.0,33951.0,34351.0,34849.0,35276.0,35961.0,36578.0,37365.0,37765.0,38400.0,38908.0,39100.0,39105.0,38977.0,39218.0,39098.0,38998.0,38588.0,38679.0,38541.0,38011.0,38383.0,38077.0,37761.0,37319.0,37603.0,37433.0,37460.0,37701.0,37946.0,37632.0,38201.0,37844.0,38244.0,38713.0,38848.0,39152.0,39514.0,39789.0,40126.0,40539.0,40678.0,41208.0,41462.0,41399.0,41524.0,41029.0,41329.0,41126.0,40998.0,41321.0,40980.0,40827.0,40672.0,40404.0,40699.0,40462.0,40415.0,40397.0,40247.0,40391.0,40653.0,40898.0,40876.0,40918.0,40715.0,41200.0,41750.0,41810.0,42143.0,42456.0,42609.0,42543.0,42561.0
K,2,26820.0,28230.0,25718.0,37733.0,37856.0,37576.0,37504.0,37071.0,36612.0,36310.0,36153.0,35882.0,35760.0,35431.0,35414.0,34930.0,34966.0,34784.0,34622.0,34724.0,34658.0,34699.0,34576.0,34172.0,33686.0,33973.0,33975.0,33894.0,33820.0,34017.0,34435.0,34915.0,35346.0,36032.0,36645.0,37431.0,37810.0,38467.0,38959.0,39172.0,39168.0,39035.0,39277.0,39167.0,39064.0,38646.0,38748.0,38602.0,38071.0,38444.0,38139.0,37821.0,37376.0,37662.0,37484.0,37501.0,37755.0,37991.0,37679.0,38246.0,37890.0,38289.0,38765.0,38903.0,39205.0,39565.0,39829.0,40167.0,40590.0,40718.0,41242.0,41509.0,41446.0,41566.0,41070.0,41373.0,41163.0,41029.0,41357.0,41014.0,40857.0,40692.0,40442.0,40728.0,40502.0,40449.0,40430.0,40277.0,40417.0,40677.0,40926.0,40910.0,40950.0,40737.0,41229.0,41774.0,41831.0,42165.0,42484.0,42636.0,42563.0
K,3,27466.0,27031.0,28415.0,25790.0,37823.0,37936.0,37675.0,37591.0,37136.0,36711.0,36397.0,36240.0,35963.0,35855.0,35514.0,35514.0,35005.0,35048.0,34872.0,34684.0,34794.0,34739.0,34784.0,34641.0,34235.0,33754.0,34067.0,34051.0,33964.0,33900.0,34087.0,34509.0,34969.0,35425.0,36087.0,36712.0,37499.0,37854.0,38529.0,39020.0,39228.0,39224.0,39106.0,39343.0,39217.0,39136.0,38684.0,38793.0,38665.0,38135.0,38508.0,38193.0,37864.0,37435.0,37714.0,37535.0,37553.0,37815.0,38033.0,37732.0,38299.0,37942.0,38318.0,38809.0,38950.0,39251.0,39617.0,39869.0,40213.0,40645.0,40751.0,41290.0,41541.0,41478.0,41606.0,41103.0,41401.0,41203.0,41065.0,41387.0,41042.0,40886.0,40718.0,40471.0,40754.0,40531.0,40478.0,40459.0,40313.0,40445.0,40699.0,40947.0,40938.0,40965.0,40774.0,41252.0,41788.0,41850.0,42189.0,42511.0,42662.0
K,4,27692.0,27650.0,27209.0,28502.0,25873.0,37900.0,38038.0,37766.0,37680.0,37218.0,36803.0,36477.0,36326.0,36045.0,35956.0,35590.0,35589.0,35083.0,35129.0,34936.0,34758.0,34859.0,34830.0,34857.0,34731.0,34305.0,33835.0,34121.0,34127.0,34026.0,33979.0,34167.0,34573.0,35034.0,35504.0,36164.0,36773.0,37574.0,37914.0,38599.0,39085.0,39288.0,39285.0,39174.0,39407.0,39273.0,39196.0,38746.0,38842.0,38714.0,38193.0,38569.0,38243.0,37914.0,37489.0,37770.0,37581.0,37592.0,37862.0,38071.0,37774.0,38355.0,37989.0,38378.0,38864.0,39017.0,39275.0,39657.0,39912.0,40260.0,40673.0,40792.0,41336.0,41569.0,41528.0,41642.0,41142.0,41438.0,41241.0,41105.0,41428.0,41089.0,40925.0,40754.0,40505.0,40781.0,40563.0,40511.0,40484.0,40346.0,40477.0,40729.0,40974.0,40965.0,40996.0,40804.0,41270.0,41810.0,41867.0,42215.0,42536.0
K,5,28546.0,27916.0,27885.0,27314.0,28600.0,25959.0,37984.0,38121.0,37885.0,37768.0,37301.0,36892.0,36569.0,36424.0,36150.0,36040.0,35667.0,35685.0,35166.0,35236.0,35042.0,34843.0,34938.0,34926.0,34944.0,34827.0,34392.0,33910.0,34210.0,34210.0,34106.0,34070.0,34258.0,34626.0,35113.0,35585.0,36221.0,36853.0,37649.0,37996.0,38676.0,39160.0,39347.0,39349.0,39231.0,39476.0,39340.0,39266.0,38801.0,38892.0,38763.0,38236.0,38629.0,38310.0,37962.0,37534.0,37813.0,37631.0,37645.0,37914.0,38133.0,37823.0,38403.0,38032.0,38425.0,38911.0,39072.0,39330.0,39702.0,39971.0,40313.0,40729.0,40840.0,41365.0,41628.0,41577.0,41689.0,41179.0,41470.0,41274.0,41137.0,41466.0,41132.0,40949.0,40782.0,40541.0,40806.0,40600.0,40536.0,40518.0,40376.0,40514.0,40756.0,41002.0,41000.0,41019.0,40825.0,41289.0,41828.0,41893.0,42246.0
K,6,29714.0,28759.0,28148.0,27977.0,27416.0,28705.0,26048.0,38096.0,38214.0,37973.0,37858.0,37404.0,36993.0,36643.0,36491.0,36233.0,36136.0,35755.0,35763.0,35245.0,35322.0,35126.0,34913.0,35022.0,35012.0,35021.0,34909.0,34492.0,33991.0,34288.0,34297.0,34191.0,34146.0,34336.0,34704.0,35189.0,35656.0,36292.0,36937.0,37723.0,38069.0,38741.0,39222.0,39406.0,39421.0,39290.0,39541.0,39384.0,39315.0,38858.0,38979.0,38846.0,38292.0,38689.0,38363.0,38015.0,37585.0,37874.0,37699.0,37700.0,37959.0,38180.0,37888.0,38443.0,38084.0,38471.0,38961.0,39120.0,39377.0,39745.0,40028.0,40365.0,40751.0,40881.0,41420.0,41676.0,41621.0,41729.0,41229.0,41508.0,41313.0,41163.0,41502.0,41172.0,40987.0,40819.0,40571.0,40838.0,40633.0,40565.0,40561.0,40397.0,40549.0,40777.0,41035.0,41029.0,41051.0,40858.0,41308.0,41849.0,41911.0
K,7,29958.0,29924.0,29007.0,28261.0,28070.0,27508.0,28805.0,26138.0,38192.0,38304.0,38072.0,37954.0,37505.0,37074.0,36742.0,36559.0,36327.0,36235.0,35837.0,35849.0,35333.0,35410.0,35207.0,34992.0,35114.0,35096.0,35102.0,34974.0,34559.0,34069.0,34351.0,34373.0,34264.0,34219.0,34415.0,34769.0,35262.0,35729.0,36358.0,37014.0,37780.0,38150.0,38792.0,39296.0,39470.0,39485.0,39360.0,39598.0,39442.0,39369.0,38926.0,39039.0,38910.0,38352.0,38737.0,38415.0,38062.0,37655.0,37944.0,37752.0,37761.0,38011.0,38229.0,37942.0,38488.0,38128.0,38514.0,39015.0,39168.0,39420.0,39803.0,40084.0,40421.0,40786.0,40920.0,41456.0,41714.0,41666.0,41770.0,41268.0,41547.0,41345.0,41201.0,41541.0,41200.0,41016.0,40857.0,40598.0,40859.0,40670.0,40598.0,40596.0,40428.0,40575.0,40809.0,41047.0,41050.0,41079.0,40885.0,41328.0,41871.0
K,8,30221.0,30182.0,30147.0,29107.0,28367.0,28176.0,27599.0,28918.0,26214.0,38289.0,38404.0,38172.0,38038.0,37598.0,37164.0,36814.0,36634.0,36430.0,36330.0,35914.0,35942.0,35415.0,35500.0,35281.0,35078.0,35197.0,35164.0,35181.0,35060.0,34626.0,34140.0,34421.0,34448.0,34338.0,34292.0,34490.0,34843.0,35323.0,35800.0,36441.0,37074.0,37860.0,38222.0,38850.0,39371.0,39537.0,39540.0,39432.0,39677.0,39497.0,39433.0,38990.0,39098.0,38960.0,38408.0,38790.0,38473.0,38116.0,37714.0,38023.0,37811.0,37817.0,38064.0,38281.0,37998.0,38540.0,38165.0,38558.0,39066.0,39210.0,39461.0,39840.0,40131.0,40468.0,40831.0,40957.0,41490.0,41750.0,41698.0,41810.0,41306.0,41574.0,41394.0,41243.0,41590.0,41229.0,41057.0,40889.0,40623.0,40909.0,40687.0,40626.0,40626.0,40457.0,40607.0,40836.0,41076.0,41080.0,41106.0,40905.0,41346.0
K,9,30613.0,30435.0,30378.0,30267.0,29194.0,28455.0,28279.0,27689.0,29015.0,26315.0,38390.0,38482.0,38272.0,38131.0,37685.0,37246.0,36909.0,36716.0,36511.0,36418.0,35997.0,36030.0,35503.0,35585.0,35362.0,35140.0,35267.0,35258.0,35258.0,35137.0,34687.0,34206.0,34499.0,34517.0,34419.0,34378.0,34564.0,34907.0,35392.0,35868.0,36506.0,37131.0,37926.0,38292.0,38931.0,39450.0,39609.0,39593.0,39499.0,39742.0,39545.0,39499.0,39040.0,39147.0,39019.0,38464.0,38847.0,38521.0,38167.0,37761.0,38084.0,37871.0,37866.0,38105.0,38326.0,38045.0,38590.0,38199.0,38618.0,39111.0,39267.0,39507.0,39876.0,40171.0,40509.0,40871.0,40998.0,41527.0,41777.0,41742.0,41848.0,41340.0,41613.0,41433.0,41272.0,41635.0,41262.0,41098.0,40925.0,40654.0,40944.0,40720.0,40654.0,40653.0,40479.0,40634.0,40870.0,41099.0,41097.0,41131.0,40931.0
