sex,alder,pop_2023,pop_4067,pop_4068,pop_4069,pop_4070,pop_4071,pop_4072,pop_4073,pop_4074,pop_4075,pop_4076,pop_4077,pop_4078,pop_4079,pop_4080,pop_4081,pop_4082,pop_4083,pop_4084,pop_4085,pop_4086,pop_4087,pop_4088,pop_4089,pop_4090,pop_4091,pop_4092,pop_4093,pop_4094,pop_4095,pop_4096,pop_4097,pop_4098,pop_4099,pop_4100,pop_4101,pop_4102,pop_4103,pop_4104,pop_4105,pop_4106,pop_4107,pop_4108,pop_4109,pop_4110,pop_4111,pop_4112,pop_4113,pop_4114,pop_4115,pop_4116,pop_4117,pop_4118,pop_4119,pop_4120,pop_4121,pop_4122,pop_4123,pop_4124,pop_4125,pop_4126,pop_4127,pop_4128,pop_4129,pop_4130,pop_4131,pop_4132,pop_4133,pop_4134,pop_4135,pop_4136,pop_4137,pop_4138,pop_4139,pop_4140,pop_4141,pop_4142,pop_4143,pop_4144,pop_4145,pop_4146,pop_4147,pop_4148,pop_4149,pop_4150,pop_4151,pop_4152,pop_4153,pop_4154,pop_4155,pop_4156,pop_4157,pop_4158,pop_4159,pop_4160,pop_4161,pop_4162,pop_4163
K,0,24694.0,34432.0,34065.0,33653.0,32957.0,32564.0,32056.0,31662.0,31442.0,30858.0,30465.0,30187.0,29486.0,29460.0,28982.0,28699.0,28690.0,28120.0,27919.0,27742.0,27660.0,27289.0,27159.0,27188.0,26968.0,27230.0,27632.0,27712.0,27921.0,28634.0,29068.0,29516.0,30267.0,30692.0,30912.0,31417.0,31330.0,32042,31577.0,31455.0,31360.0,31021.0,30985.0,30412.0,30499.0,29914.0,29727.0,29388.0,29301.0,28838.0,28885.0,28671.0,28618.0,28553.0,28533.0,28341.0,28631.0,28848.0,29215.0,29460.0,29852.0,29865.0,30168.0,30580.0,31282.0,30919.0,31126.0,31284.0,31413.0,31804.0,31637.0,31344.0,31044.0,31397.0,31209.0,30844,30800.0,30684.0,30245.0,30001.0,29916.0,29869.0,29844.0,29942.0,29584.0,29600.0,30011.0,29710.0,29732.0,30114.0,30418,30428.0,30765.0,30980.0,31266.0,31275.0,31418.0,31741.0
K,1,24713.0,24694.0,34432.0,34064.0,33653.0,32957.0,32563.0,32056.0,31662.0,31442.0,30858.0,30465.0,30186.0,29486.0,29460.0,28982.0,28699.0,28690.0,28120.0,27919.0,27742.0,27660.0,27289.0,27159.0,27188.0,26968.0,27230.0,27632.0,27712.0,27921.0,28634.0,29068.0,29516.0,30267.0,30692.0,30912.0,31417.0,31330,32042.0,31577.0,31455.0,31360.0,31021.0,30985.0,30412.0,30499.0,29914.0,29727.0,29388.0,29301.0,28838.0,28885.0,28671.0,28618.0,28553.0,28533.0,28341.0,28631.0,28848.0,29215.0,29460.0,29852.0,29865.0,30168.0,30580.0,31282.0,30919.0,31126.0,31284.0,31413.0,31804.0,31637.0,31344.0,31044.0,31397.0,31209,30844.0,30800.0,30684.0,30245.0,30001.0,29916.0,29869.0,29844.0,29942.0,29584.0,29600.0,30011.0,29710.0,29732.0,30114,30418.0,30428.0,30765.0,30979.0,31266.0,31275.0,31418.0
K,2,25297.0,24712.0,24694.0,34431.0,34064.0,33653.0,32957.0,32563.0,32056.0,31662.0,31442.0,30858.0,30465.0,30186.0,29486.0,29460.0,28982.0,28699.0,28690.0,28120.0,27919.0,27742.0,27660.0,27289.0,27159.0,27188.0,26968.0,27230.0,27632.0,27712.0,27921.0,28634.0,29068.0,29516.0,30267.0,30692.0,30912.0,31417,31330.0,32042.0,31577.0,31455.0,31360.0,31021.0,30985.0,30411.0,30499.0,29914.0,29727.0,29388.0,29301.0,28838.0,28885.0,28671.0,28618.0,28553.0,28533.0,28341.0,28631.0,28848.0,29215.0,29460.0,29852.0,29865.0,30168.0,30580.0,31282.0,30919.0,31125.0,31283.0,31413.0,31804.0,31637.0,31344.0,31044.0,31397,31209.0,30844.0,30800.0,30683.0,30245.0,30001.0,29916.0,29869.0,29844.0,29941.0,29584.0,29600.0,30011.0,29710.0,29732,30114.0,30418.0,30427.0,30765.0,30979.0,31266.0,31275.0
K,3,25312.0,25296.0,24712.0,24694.0,34431.0,34064.0,33653.0,32957.0,32563.0,32056.0,31662.0,31442.0,30858.0,30465.0,30186.0,29486.0,29460.0,28982.0,28699.0,28690.0,28120.0,27919.0,27742.0,27660.0,27289.0,27159.0,27187.0,26968.0,27230.0,27631.0,27712.0,27921.0,28633.0,29068.0,29516.0,30267.0,30692.0,30911,31417.0,31330.0,32042.0,31577.0,31455.0,31360.0,31021.0,30985.0,30411.0,30499.0,29914.0,29727.0,29388.0,29301.0,28838.0,28885.0,28671.0,28618.0,28553.0,28533.0,28341.0,28630.0,28848.0,29215.0,29460.0,29852.0,29865.0,30168.0,30580.0,31282.0,30919.0,31125.0,31283.0,31413.0,31804.0,31637.0,31344.0,31043,31397.0,31209.0,30843.0,30800.0,30683.0,30245.0,30001.0,29915.0,29868.0,29844.0,29941.0,29584.0,29600.0,30011.0,29710,29732.0,30114.0,30418.0,30427.0,30765.0,30978.0,31266.0
K,4,25453.0,25312.0,25296.0,24712.0,24694.0,34430.0,34064.0,33653.0,32957.0,32563.0,32056.0,31661.0,31442.0,30858.0,30465.0,30186.0,29486.0,29460.0,28982.0,28699.0,28689.0,28119.0,27919.0,27742.0,27660.0,27289.0,27159.0,27187.0,26968.0,27228.0,27631.0,27712.0,27921.0,28633.0,29068.0,29516.0,30267.0,30692,30911.0,31417.0,31330.0,32042.0,31577.0,31454.0,31360.0,31021.0,30985.0,30411.0,30499.0,29914.0,29727.0,29388.0,29301.0,28838.0,28885.0,28671.0,28618.0,28553.0,28533.0,28341.0,28630.0,28848.0,29215.0,29460.0,29852.0,29865.0,30168.0,30580.0,31282.0,30919.0,31125.0,31283.0,31413.0,31804.0,31637.0,31344,31043.0,31397.0,31209.0,30843.0,30800.0,30683.0,30245.0,30001.0,29915.0,29868.0,29844.0,29941.0,29584.0,29600.0,30011,29710.0,29732.0,30114.0,30418.0,30427.0,30765.0,30978.0
K,5,25922.0,25453.0,25311.0,25296.0,24712.0,24694.0,34429.0,34064.0,33653.0,32957.0,32563.0,32056.0,31661.0,31442.0,30858.0,30465.0,30186.0,29486.0,29460.0,28982.0,28699.0,28689.0,28119.0,27919.0,27742.0,27660.0,27289.0,27159.0,27187.0,26968.0,27228.0,27630.0,27712.0,27921.0,28633.0,29068.0,29516.0,30267,30692.0,30911.0,31417.0,31330.0,32042.0,31577.0,31454.0,31360.0,31021.0,30985.0,30411.0,30499.0,29914.0,29727.0,29388.0,29301.0,28838.0,28885.0,28671.0,28618.0,28552.0,28533.0,28341.0,28630.0,28848.0,29215.0,29460.0,29852.0,29865.0,30168.0,30580.0,31282.0,30919.0,31125.0,31283.0,31413.0,31804.0,31637,31344.0,31043.0,31397.0,31208.0,30843.0,30800.0,30683.0,30245.0,30001.0,29915.0,29868.0,29844.0,29941.0,29584.0,29599,30011.0,29710.0,29732.0,30114.0,30418.0,30427.0,30765.0
K,6,25830.0,25922.0,25453.0,25310.0,25296.0,24711.0,24694.0,34429.0,34063.0,33653.0,32957.0,32563.0,32056.0,31661.0,31442.0,30858.0,30465.0,30186.0,29486.0,29460.0,28982.0,28699.0,28689.0,28119.0,27919.0,27742.0,27660.0,27289.0,27158.0,27187.0,26968.0,27228.0,27630.0,27712.0,27921.0,28633.0,29068.0,29516,30267.0,30692.0,30911.0,31417.0,31330.0,32042.0,31577.0,31454.0,31360.0,31021.0,30985.0,30411.0,30499.0,29914.0,29727.0,29388.0,29301.0,28838.0,28885.0,28671.0,28618.0,28552.0,28533.0,28341.0,28630.0,28848.0,29215.0,29460.0,29852.0,29865.0,30168.0,30580.0,31282.0,30919.0,31125.0,31283.0,31413.0,31804,31637.0,31344.0,31043.0,31397.0,31208.0,30843.0,30800.0,30683.0,30245.0,30001.0,29915.0,29868.0,29844.0,29941.0,29582,29599.0,30011.0,29710.0,29732.0,30114.0,30418.0,30427.0
K,7,25957.0,25830.0,25920.0,25453.0,25310.0,25296.0,24711.0,24694.0,34429.0,34063.0,33653.0,32957.0,32563.0,32056.0,31661.0,31442.0,30858.0,30465.0,30185.0,29486.0,29460.0,28981.0,28699.0,28689.0,28119.0,27919.0,27742.0,27660.0,27289.0,27158.0,27187.0,26968.0,27228.0,27630.0,27712.0,27920.0,28633.0,29068,29516.0,30267.0,30692.0,30911.0,31417.0,31330.0,32041.0,31577.0,31454.0,31360.0,31020.0,30985.0,30411.0,30499.0,29914.0,29727.0,29388.0,29301.0,28838.0,28885.0,28671.0,28618.0,28552.0,28533.0,28341.0,28630.0,28848.0,29215.0,29460.0,29852.0,29865.0,30168.0,30580.0,31282.0,30919.0,31125.0,31283.0,31413,31803.0,31637.0,31344.0,31043.0,31397.0,31208.0,30843.0,30800.0,30683.0,30245.0,30001.0,29915.0,29868.0,29844.0,29941,29582.0,29599.0,30011.0,29710.0,29732.0,30114.0,30418.0
K,8,26001.0,25957.0,25829.0,25919.0,25451.0,25310.0,25296.0,24711.0,24694.0,34429.0,34063.0,33653.0,32956.0,32563.0,32056.0,31661.0,31442.0,30858.0,30465.0,30185.0,29486.0,29460.0,28981.0,28699.0,28688.0,28119.0,27919.0,27742.0,27660.0,27289.0,27158.0,27187.0,26968.0,27228.0,27630.0,27712.0,27920.0,28633,29068.0,29516.0,30267.0,30692.0,30911.0,31417.0,31330.0,32041.0,31577.0,31454.0,31360.0,31020.0,30985.0,30411.0,30499.0,29914.0,29727.0,29388.0,29301.0,28838.0,28885.0,28671.0,28618.0,28551.0,28533.0,28341.0,28629.0,28848.0,29215.0,29460.0,29852.0,29865.0,30168.0,30580.0,31282.0,30919.0,31125.0,31283,31413.0,31803.0,31637.0,31344.0,31043.0,31397.0,31208.0,30843.0,30800.0,30683.0,30245.0,30001.0,29915.0,29868.0,29844,29941.0,29582.0,29599.0,30011.0,29710.0,29732.0,30114.0
K,9,26287.0,26001.0,25957.0,25829.0,25919.0,25450.0,25310.0,25296.0,24711.0,24694.0,34429.0,34063.0,33653.0,32955.0,32563.0,32056.0,31661.0,31442.0,30858.0,30465.0,30185.0,29486.0,29460.0,28981.0,28699.0,28688.0,28119.0,27919.0,27742.0,27660.0,27289.0,27158.0,27187.0,26968.0,27228.0,27630.0,27712.0,27920,28633.0,29068.0,29516.0,30267.0,30692.0,30911.0,31417.0,31330.0,32041.0,31577.0,31454.0,31360.0,31020.0,30985.0,30411.0,30499.0,29914.0,29727.0,29388.0,29301.0,28838.0,28885.0,28671.0,28618.0,28551.0,28533.0,28341.0,28629.0,28848.0,29215.0,29460.0,29852.0,29865.0,30168.0,30580.0,31282.0,30919.0,31125,31283.0,31413.0,31803.0,31637.0,31344.0,31043.0,31397.0,31208.0,30843.0,30800.0,30683.0,30245.0,30001.0,29915.0,29868,29844.0,29941.0,29582.0,29599.0,30011.0,29710.0,29732.0
