sex,alder,pop_2023,pop_4087,pop_4088,pop_4089,pop_4090,pop_4091,pop_4092,pop_4093,pop_4094,pop_4095,pop_4096,pop_4097,pop_4098,pop_4099,pop_4100,pop_4101,pop_4102,pop_4103,pop_4104,pop_4105,pop_4106,pop_4107,pop_4108,pop_4109,pop_4110,pop_4111,pop_4112,pop_4113,pop_4114,pop_4115,pop_4116,pop_4117,pop_4118,pop_4119,pop_4120,pop_4121,pop_4122,pop_4123,pop_4124,pop_4125,pop_4126,pop_4127,pop_4128,pop_4129,pop_4130,pop_4131,pop_4132,pop_4133,pop_4134,pop_4135,pop_4136,pop_4137,pop_4138,pop_4139,pop_4140,pop_4141,pop_4142,pop_4143,pop_4144,pop_4145,pop_4146,pop_4147,pop_4148,pop_4149,pop_4150,pop_4151,pop_4152,pop_4153,pop_4154,pop_4155,pop_4156,pop_4157,pop_4158,pop_4159,pop_4160,pop_4161,pop_4162,pop_4163
K,0,21073.0,29297.0,29166.0,29045.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25371.0,25263.0,25064.0,24710.0,24369.0,24296.0,23838.0,23827.0,23667.0,23843.0,23863.0,23935.0,24380.0,24377.0,25120.0,25865.0,26149.0,26623.0,27042,27516.0,27648.0,27608.0,27650.0,27913.0,27645.0,27237.0,27423.0,26845.0,26947.0,26654.0,26444.0,26288.0,25898.0,25758.0,25575.0,25127.0,25160.0,25294.0,24946.0,25237.0,25123.0,25220.0,25329.0,25544.0,25840.0,26144.0,26303.0,26484.0,26808.0,26964.0,27316.0,27487.0,27453.0,27607.0,27799.0,27827,27517.0,27411.0,27489.0,27287.0,27235,27025.0
K,1,21452.0,21073.0,29297.0,29166.0,29045.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25371.0,25263.0,25064.0,24710.0,24369.0,24296.0,23838.0,23827.0,23667.0,23843.0,23863.0,23935.0,24380.0,24377.0,25119.0,25865.0,26149.0,26623,27042.0,27516.0,27648.0,27608.0,27650.0,27913.0,27645.0,27237.0,27423.0,26845.0,26947.0,26654.0,26444.0,26288.0,25898.0,25758.0,25575.0,25127.0,25160.0,25294.0,24946.0,25236.0,25123.0,25220.0,25329.0,25544.0,25840.0,26144.0,26303.0,26483.0,26808.0,26964.0,27316.0,27487.0,27453.0,27607.0,27799,27827.0,27517.0,27411.0,27489.0,27287,27235.0
K,2,21653.0,21452.0,21073.0,29297.0,29166.0,29045.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25371.0,25263.0,25064.0,24709.0,24369.0,24296.0,23838.0,23827.0,23667.0,23843.0,23863.0,23935.0,24380.0,24377.0,25119.0,25865.0,26149,26623.0,27042.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26845.0,26947.0,26654.0,26443.0,26288.0,25898.0,25758.0,25575.0,25127.0,25160.0,25294.0,24946.0,25236.0,25123.0,25220.0,25329.0,25544.0,25840.0,26144.0,26302.0,26483.0,26808.0,26964.0,27316.0,27487.0,27453.0,27607,27799.0,27827.0,27517.0,27411.0,27489,27287.0
K,3,21801.0,21653.0,21452.0,21073.0,29297.0,29166.0,29045.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25371.0,25262.0,25064.0,24709.0,24369.0,24296.0,23838.0,23827.0,23667.0,23843.0,23863.0,23935.0,24380.0,24377.0,25119.0,25865,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26845.0,26947.0,26654.0,26443.0,26288.0,25898.0,25758.0,25575.0,25127.0,25160.0,25294.0,24946.0,25236.0,25123.0,25220.0,25329.0,25544.0,25840.0,26144.0,26302.0,26483.0,26808.0,26964.0,27316.0,27487.0,27453,27607.0,27799.0,27827.0,27517.0,27411,27489.0
K,4,21876.0,21801.0,21653.0,21452.0,21073.0,29297.0,29166.0,29044.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25371.0,25262.0,25064.0,24709.0,24369.0,24296.0,23838.0,23827.0,23667.0,23843.0,23863.0,23934.0,24380.0,24377.0,25119,25865.0,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26845.0,26947.0,26654.0,26443.0,26288.0,25898.0,25758.0,25575.0,25127.0,25160.0,25294.0,24946.0,25236.0,25123.0,25220.0,25329.0,25544.0,25840.0,26144.0,26302.0,26483.0,26808.0,26964.0,27316.0,27487,27453.0,27607.0,27799.0,27827.0,27516,27411.0
K,5,22318.0,21876.0,21801.0,21653.0,21452.0,21073.0,29297.0,29166.0,29044.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25371.0,25262.0,25064.0,24709.0,24369.0,24296.0,23838.0,23827.0,23667.0,23843.0,23863.0,23934.0,24379.0,24377,25119.0,25865.0,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26844.0,26947.0,26654.0,26443.0,26288.0,25898.0,25758.0,25575.0,25127.0,25160.0,25294.0,24946.0,25236.0,25123.0,25220.0,25329.0,25544.0,25840.0,26143.0,26302.0,26483.0,26808.0,26964.0,27316,27487.0,27453.0,27607.0,27799.0,27827,27516.0
K,6,22283.0,22318.0,21876.0,21801.0,21653.0,21452.0,21073.0,29297.0,29166.0,29044.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25371.0,25262.0,25064.0,24709.0,24369.0,24296.0,23838.0,23827.0,23667.0,23842.0,23863.0,23934.0,24379,24377.0,25119.0,25865.0,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26844.0,26947.0,26654.0,26443.0,26288.0,25898.0,25758.0,25575.0,25127.0,25160.0,25294.0,24946.0,25236.0,25123.0,25220.0,25329.0,25544.0,25840.0,26143.0,26302.0,26482.0,26808.0,26964,27316.0,27487.0,27453.0,27606.0,27798,27827.0
K,7,22768.0,22283.0,22318.0,21876.0,21801.0,21653.0,21452.0,21073.0,29297.0,29166.0,29044.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25370.0,25262.0,25064.0,24709.0,24369.0,24296.0,23838.0,23827.0,23667.0,23842.0,23863.0,23934,24378.0,24377.0,25119.0,25865.0,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26844.0,26947.0,26654.0,26443.0,26288.0,25898.0,25758.0,25575.0,25126.0,25160.0,25294.0,24946.0,25236.0,25123.0,25220.0,25329.0,25544.0,25839.0,26143.0,26302.0,26482.0,26808,26964.0,27316.0,27487.0,27453.0,27606,27798.0
K,8,22868.0,22768.0,22283.0,22318.0,21876.0,21801.0,21653.0,21452.0,21073.0,29297.0,29166.0,29042.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25370.0,25262.0,25064.0,24709.0,24369.0,24296.0,23838.0,23827.0,23667.0,23842.0,23863,23934.0,24378.0,24377.0,25119.0,25865.0,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26844.0,26947.0,26654.0,26443.0,26287.0,25898.0,25756.0,25575.0,25126.0,25160.0,25293.0,24946.0,25236.0,25122.0,25220.0,25329.0,25544.0,25839.0,26143.0,26302.0,26482,26808.0,26964.0,27316.0,27486.0,27453,27606.0
K,9,23303.0,22868.0,22768.0,22283.0,22318.0,21876.0,21801.0,21653.0,21452.0,21073.0,29297.0,29166.0,29042.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25370.0,25262.0,25064.0,24709.0,24369.0,24296.0,23838.0,23827.0,23667.0,23842,23863.0,23934.0,24378.0,24377.0,25118.0,25864.0,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26844.0,26947.0,26654.0,26443.0,26287.0,25898.0,25756.0,25575.0,25126.0,25160.0,25293.0,24946.0,25236.0,25122.0,25220.0,25329.0,25544.0,25839.0,26143.0,26302,26482.0,26808.0,26964.0,27316.0,27486,27453.0
K,10,23461.0,23303.0,22868.0,22768.0,22283.0,22318.0,21876.0,21801.0,21653.0,21452.0,21073.0,29297.0,29166.0,29042.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25370.0,25262.0,25064.0,24709.0,24369.0,24296.0,23838.0,23827.0,23667,23842.0,23863.0,23934.0,24378.0,24377.0,25118.0,25864.0,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26844.0,26947.0,26654.0,26443.0,26287.0,25898.0,25756.0,25575.0,25126.0,25160.0,25293.0,24946.0,25236.0,25122.0,25219.0,25329.0,25544.0,25839.0,26143,26302.0,26482.0,26808.0,26964.0,27316,27486.0
K,11,23648.0,23461.0,23303.0,22868.0,22768.0,22283.0,22318.0,21876.0,21801.0,21653.0,21452.0,21073.0,29297.0,29166.0,29042.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25370.0,25262.0,25064.0,24709.0,24369.0,24296.0,23838.0,23827,23667.0,23842.0,23863.0,23934.0,24378.0,24377.0,25118.0,25864.0,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26844.0,26947.0,26654.0,26443.0,26287.0,25898.0,25756.0,25575.0,25126.0,25160.0,25293.0,24946.0,25236.0,25122.0,25219.0,25329.0,25544.0,25839,26143.0,26302.0,26482.0,26808.0,26964,27316.0
K,12,23937.0,23648.0,23461.0,23303.0,22868.0,22768.0,22283.0,22318.0,21876.0,21801.0,21653.0,21452.0,21073.0,29297.0,29166.0,29042.0,28815.0,28492.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25370.0,25262.0,25064.0,24709.0,24369.0,24296.0,23838,23827.0,23667.0,23842.0,23863.0,23934.0,24378.0,24377.0,25118.0,25864.0,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26844.0,26947.0,26654.0,26443.0,26287.0,25898.0,25756.0,25575.0,25126.0,25160.0,25293.0,24946.0,25236.0,25122.0,25219.0,25329.0,25544,25839.0,26143.0,26302.0,26482.0,26808,26964.0
K,13,24259.0,23935.0,23648.0,23461.0,23303.0,22868.0,22768.0,22283.0,22318.0,21876.0,21801.0,21653.0,21451.0,21073.0,29297.0,29166.0,29042.0,28815.0,28491.0,28246.0,28046.0,27822.0,27274.0,27113.0,26777.0,26468.0,26329.0,26037.0,25915.0,25370.0,25262.0,25064.0,24709.0,24369.0,24296,23838.0,23827.0,23667.0,23842.0,23863.0,23934.0,24378.0,24377.0,25118.0,25864.0,26149.0,26623.0,27041.0,27516.0,27648.0,27608.0,27650.0,27913.0,27644.0,27237.0,27423.0,26844.0,26947.0,26654.0,26443.0,26287.0,25898.0,25756.0,25575.0,25126.0,25160.0,25293.0,24946.0,25236.0,25122.0,25219.0,25329,25544.0,25838.0,26143.0,26302.0,26482,26808.0
