sex,alder,pop_2023,pop_4107,pop_4108,pop_4109,pop_4110,pop_4111,pop_4112,pop_4113,pop_4114,pop_4115,pop_4116,pop_4117,pop_4118,pop_4119,pop_4120,pop_4121,pop_4122,pop_4123,pop_4124,pop_4125,pop_4126,pop_4127,pop_4128,pop_4129,pop_4130,pop_4131,pop_4132,pop_4133,pop_4134,pop_4135,pop_4136,pop_4137,pop_4138,pop_4139,pop_4140,pop_4141,pop_4142,pop_4143,pop_4144,pop_4145,pop_4146,pop_4147,pop_4148,pop_4149,pop_4150,pop_4151,pop_4152,pop_4153,pop_4154,pop_4155,pop_4156,pop_4157,pop_4158,pop_4159,pop_4160,pop_4161,pop_4162,pop_4163
K,0,18690.0,25936.0,25579.0,25393.0,25247.0,24670.0,24703.0,24035.0,24081.0,23770.0,23434.0,23111.0,22988.0,22728.0,22638.0,22372.0,21987.0,22000.0,21807.0,21676.0,21513.0,21381.0,21051.0,21000.0,21009.0,21053.0,21259.0,21256.0,21568.0,21620.0,22551.0,22558.0,22912.0,23283.0,23690.0,23835.0,24043.0,24283.0,24130.0,24331.0,24135.0,24028.0,23908.0,23405.0,23327.0,23155.0,23088.0,23067.0,22451.0,22467.0,22465.0,22327.0,22023,22110,22071.0,22238.0,21771.0,22335.0
K,1,18901.0,18690.0,25936.0,25579.0,25393.0,25247.0,24670.0,24703.0,24035.0,24081.0,23770.0,23434.0,23111.0,22988.0,22728.0,22638.0,22372.0,21987.0,22000.0,21807.0,21676.0,21513.0,21381.0,21051.0,21000.0,21009.0,21053.0,21259.0,21256.0,21568.0,21620.0,22551.0,22558.0,22912.0,23283.0,23690.0,23835.0,24043.0,24283.0,24130.0,24331.0,24135.0,24028.0,23908.0,23405.0,23327.0,23155.0,23088.0,23067.0,22451.0,22467.0,22465.0,22327,22023,22110.0,22071.0,22238.0,21771.0
K,2,18944.0,18901.0,18690.0,25936.0,25579.0,25393.0,25247.0,24670.0,24703.0,24035.0,24081.0,23770.0,23434.0,23111.0,22988.0,22728.0,22638.0,22372.0,21987.0,22000.0,21807.0,21676.0,21513.0,21381.0,21051.0,21000.0,21008.0,21053.0,21259.0,21256.0,21568.0,21620.0,22551.0,22558.0,22912.0,23283.0,23690.0,23835.0,24043.0,24283.0,24130.0,24331.0,24135.0,24028.0,23908.0,23405.0,23327.0,23155.0,23088.0,23067.0,22451.0,22467.0,22465,22327,22023.0,22110.0,22071.0,22238.0
K,3,19573.0,18944.0,18901.0,18690.0,25936.0,25579.0,25393.0,25247.0,24670.0,24703.0,24035.0,24081.0,23770.0,23434.0,23111.0,22988.0,22728.0,22637.0,22372.0,21987.0,22000.0,21807.0,21676.0,21513.0,21381.0,21051.0,21000.0,21008.0,21053.0,21259.0,21256.0,21568.0,21620.0,22551.0,22558.0,22912.0,23283.0,23690.0,23835.0,24043.0,24283.0,24130.0,24331.0,24135.0,24028.0,23908.0,23405.0,23327.0,23155.0,23088.0,23067.0,22451.0,22467,22465,22327.0,22023.0,22110.0,22071.0
K,4,19480.0,19573.0,18944.0,18901.0,18690.0,25936.0,25579.0,25393.0,25247.0,24670.0,24703.0,24035.0,24081.0,23770.0,23434.0,23111.0,22988.0,22728.0,22637.0,22372.0,21987.0,21999.0,21807.0,21676.0,21513.0,21381.0,21051.0,21000.0,21008.0,21053.0,21259.0,21256.0,21568.0,21620.0,22551.0,22558.0,22912.0,23283.0,23690.0,23835.0,24043.0,24283.0,24130.0,24331.0,24135.0,24028.0,23908.0,23405.0,23327.0,23155.0,23088.0,23067.0,22451,22467,22465.0,22327.0,22023.0,22109.0
K,5,19701.0,19480.0,19573.0,18944.0,18901.0,18690.0,25936.0,25579.0,25393.0,25247.0,24670.0,24703.0,24035.0,24081.0,23770.0,23434.0,23111.0,22988.0,22728.0,22637.0,22372.0,21987.0,21999.0,21807.0,21676.0,21513.0,21381.0,21051.0,21000.0,21008.0,21053.0,21259.0,21256.0,21568.0,21620.0,22551.0,22558.0,22912.0,23283.0,23690.0,23835.0,24043.0,24283.0,24130.0,24331.0,24135.0,24028.0,23908.0,23405.0,23327.0,23155.0,23088.0,23066,22451,22467.0,22465.0,22327.0,22023.0
K,6,19983.0,19701.0,19480.0,19573.0,18944.0,18901.0,18690.0,25936.0,25579.0,25393.0,25247.0,24670.0,24703.0,24035.0,24081.0,23770.0,23434.0,23111.0,22988.0,22728.0,22637.0,22372.0,21987.0,21999.0,21807.0,21676.0,21513.0,21380.0,21051.0,21000.0,21008.0,21053.0,21259.0,21256.0,21568.0,21620.0,22551.0,22558.0,22912.0,23283.0,23690.0,23835.0,24043.0,24283.0,24129.0,24331.0,24135.0,24028.0,23908.0,23405.0,23326.0,23155.0,23088,23066,22451.0,22467.0,22465.0,22325.0
K,7,20137.0,19983.0,19701.0,19480.0,19573.0,18944.0,18901.0,18690.0,25936.0,25579.0,25393.0,25247.0,24670.0,24703.0,24035.0,24081.0,23770.0,23434.0,23111.0,22988.0,22728.0,22637.0,22372.0,21987.0,21999.0,21807.0,21676.0,21513.0,21380.0,21051.0,21000.0,21008.0,21053.0,21259.0,21256.0,21568.0,21620.0,22551.0,22558.0,22912.0,23283.0,23690.0,23835.0,24043.0,24283.0,24129.0,24330.0,24135.0,24028.0,23908.0,23405.0,23326.0,23154,23088,23065.0,22451.0,22467.0,22465.0
K,8,20392.0,20137.0,19983.0,19701.0,19480.0,19573.0,18944.0,18901.0,18690.0,25936.0,25578.0,25393.0,25247.0,24670.0,24702.0,24035.0,24081.0,23770.0,23434.0,23111.0,22988.0,22728.0,22637.0,22372.0,21987.0,21999.0,21807.0,21676.0,21513.0,21380.0,21051.0,21000.0,21008.0,21053.0,21259.0,21256.0,21568.0,21620.0,22551.0,22558.0,22912.0,23283.0,23690.0,23835.0,24043.0,24283.0,24129.0,24330.0,24135.0,24028.0,23908.0,23405.0,23326,23154,23088.0,23065.0,22451.0,22467.0
K,9,20554.0,20392.0,20137.0,19983.0,19701.0,19480.0,19573.0,18944.0,18901.0,18690.0,25936.0,25578.0,25393.0,25247.0,24670.0,24702.0,24035.0,24081.0,23770.0,23434.0,23111.0,22988.0,22728.0,22637.0,22372.0,21987.0,21999.0,21807.0,21676.0,21513.0,21380.0,21051.0,21000.0,21008.0,21053.0,21259.0,21256.0,21568.0,21620.0,22551.0,22558.0,22912.0,23283.0,23690.0,23835.0,24043.0,24282.0,24129.0,24330.0,24135.0,24028.0,23908.0,23405,23326,23154.0,23088.0,23064.0,22450.0
