sex,alder,pop_2023,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,0,15171.0,14955.0,14946.0,14653.0,14619.0,14373.0,14148.0,14238.0,14157.0,13902.0,13790.0
K,1,15296.0,15193.0,14989.0,14967.0,14687.0,14648.0,14406.0,14175.0,14265.0,14180.0,13927.0
K,2,15401.0,15325.0,15209.0,15016.0,15002.0,14717.0,14677.0,14432.0,14191.0,14287.0,14205.0
K,3,15563.0,15426.0,15349.0,15243.0,15039.0,15020.0,14741.0,14705.0,14454.0,14210.0,14306.0
K,4,15859.0,15590.0,15456.0,15372.0,15268.0,15058.0,15038.0,14766.0,14729.0,14476.0,14223.0
K,5,15837.0,15899.0,15631.0,15486.0,15410.0,15300.0,15084.0,15070.0,14793.0,14755.0,14490.0
K,6,16009.0,15868.0,15928.0,15659.0,15513.0,15439.0,15330.0,15113.0,15096.0,14822.0,14779.0
K,7,16161.0,16040.0,15896.0,15957.0,15685.0,15536.0,15473.0,15361.0,15132.0,15120.0,14845.0
K,8,16165.0,16193.0,16068.0,15924.0,15984.0,15708.0,15569.0,15498.0,15387.0,15154.0,15143.0
K,9,16465.0,16197.0,16224.0,16100.0,15960.0,16006.0,15730.0,15585.0,15533.0,15412.0,15174.0
K,10,16707.0,16502.0,16228.0,16256.0,16135.0,15984.0,16040.0,15752.0,15607.0,15559.0,15434.0
K,11,16825.0,16743.0,16536.0,16251.0,16284.0,16164.0,16010.0,16071.0,15778.0,15625.0,15581.0
K,12,16925.0,16863.0,16773.0,16568.0,16283.0,16305.0,16191.0,16039.0,16099.0,15808.0,15653.0
K,13,17104.0,16961.0,16891.0,16799.0,16591.0,16308.0,16332.0,16221.0,16061.0,16121.0,15833.0
K,14,17320.0,17132.0,16988.0,16915.0,16837.0,16621.0,16339.0,16362.0,16250.0,16087.0,16140.0
K,15,17345.0,17350.0,17170.0,17017.0,16948.0,16868.0,16641.0,16372.0,16399.0,16279.0,16116.0
K,16,17797.0,17382.0,17384.0,17204.0,17039.0,16981.0,16898.0,16671.0,16399.0,16432.0,16301.0
K,17,17737.0,17835.0,17410.0,17419.0,17233.0,17075.0,17014.0,16926.0,16705.0,16421.0,16461.0
K,18,17731.0,17764.0,17876.0,17446.0,17447.0,17269.0,17108.0,17041.0,16949.0,16728.0,16445.0
K,19,17944.0,17755.0,17794.0,17912.0,17466.0,17480.0,17303.0,17132.0,17062.0,16983.0,16758.0
K,20,18181.0,17982.0,17786.0,17824.0,17945.0,17509.0,17505.0,17332.0,17151.0,17096.0,17004.0
K,21,18413.0,18209.0,18011.0,17825.0,17849.0,17968.0,17540.0,17543.0,17358.0,17170.0,17123.0
K,22,18471.0,18452.0,18254.0,18044.0,17860.0,17880.0,17997.0,17564.0,17575.0,17385.0,17192.0
K,23,18660.0,18490.0,18485.0,18286.0,18086.0,17884.0,17907.0,18018.0,17595.0,17611.0,17405.0
K,24,18851.0,18689.0,18518.0,18522.0,18319.0,18118.0,17921.0,17930.0,18045.0,17615.0,17632.0
K,25,18929.0,18885.0,18734.0,18553.0,18561.0,18350.0,18154.0,17949.0,17960.0,18073.0,17640.0
K,26,19114.0,18955.0,18925.0,18776.0,18586.0,18587.0,18380.0,18177.0,17976.0,17990.0,18089.0
K,27,19554.0,19143.0,18990.0,18955.0,18804.0,18615.0,18617.0,18415.0,18213.0,17999.0,18014.0
K,28,19623.0,19587.0,19185.0,19026.0,18988.0,18831.0,18641.0,18652.0,18443.0,18235.0,18024.0
K,29,19941.0,19645.0,19621.0,19222.0,19053.0,19017.0,18850.0,18667.0,18680.0,18473.0,18265.0
K,30,20008.0,19992.0,19699.0,19664.0,19248.0,19090.0,19062.0,18876.0,18701.0,18707.0,18497.0
K,31,20284.0,20052.0,20020.0,19730.0,19705.0,19280.0,19132.0,19090.0,18918.0,18730.0,18736.0
K,32,20303.0,20317.0,20098.0,20059.0,19772.0,19747.0,19318.0,19167.0,19114.0,18949.0,18765.0
