sex,alder,barn
K,100,2
K,100,0
K,100,2
K,100,2
K,100,0
K,100,0
K,100,2
K,100,0
K,100,4
M,100,0
M,100,0
M,100,0
M,100,0
M,100,0
M,100,0
M,100,0
M,100,0
M,100,0
M,100,0
M,100,0
M,100,0
M,100,0
K,101,2
K,101,4
M,101,0
M,101,0
M,101,0
K,102,1
K,102,1
M,102,0
M,102,0
M,102,0
M,102,0
M,103,0
K,104,1
M,104,0
K,99,3
K,99,3
K,99,0
M,99,0
K,99,0
M,99,0
K,99,1
M,99,0
M,99,0
K,99,1
K,99,3
M,99,0
M,99,0
M,99,0
K,99,2
K,99,2
M,99,0
K,99,0
K,99,3
M,99,0
K,99,1
K,99,2
M,99,0
K,99,4
K,99,1
M,99,0
K,99,1
M,99,0
M,99,0
K,99,0
K,99,2
M,99,0
K,99,0
M,99,0
M,99,0
M,100,0
K,99,1
M,99,0
M,99,0
K,98,1
K,98,1
M,98,0
K,98,0
K,98,1
K,98,0
M,98,0
K,98,2
K,98,3
K,98,0
M,98,0
K,98,4
K,98,0
K,98,2
M,98,0
K,98,0
K,98,0
M,98,0
M,98,0
M,98,0
K,98,0
K,98,0
K,98,2
M,98,0
K,98,1
K,98,4
M,98,0
K,98,2
K,98,4
M,98,0
M,98,0
M,98,0
K,98,0
K,98,2
K,98,0
K,98,1
K,98,1
K,98,1
K,98,1
M,98,0
K,98,0
K,98,4
M,98,0
K,98,4
K,98,2
K,98,2
M,98,0
M,98,0
K,98,1
K,98,2
M,98,0
K,98,2
K,98,0
K,98,1
K,98,1
M,98,0
K,98,1
K,98,2
K,98,5
K,102,1
K,98,0
K,100,2
M,98,0
K,98,3
K,98,2
M,97,0
M,97,0
M,97,0
K,97,2
M,97,0
K,97,3
K,97,2
K,97,4
M,97,0
K,97,2
M,97,0
K,97,2
M,97,0
K,97,4
K,97,1
M,97,0
M,97,0
M,97,0
K,97,1
M,97,0
K,97,1
M,97,0
K,97,2
M,97,0
K,97,1
M,97,0
M,97,0
M,97,0
K,97,3
M,97,0
M,97,0
M,97,0
M,97,0
K,97,0
K,97,0
K,97,1
K,97,1
K,97,1
K,97,4
M,97,0
K,97,4
K,97,2
K,97,2
K,97,2
K,97,1
M,97,0
K,97,2
K,97,0
K,97,1
M,97,0
M,97,0
