.,årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1,1940,"95,3","4,3","0,4","0,0","0,0","0,05",Mannen,20
2,1945,"94,1","5,3","0,6","0,0","0,0","0,07",Mannen,20
3,1950,"93,5","5,8","0,6","0,0","0,0","0,07",Mannen,20
4,1955,"94,0","5,8","0,3","0,0","0,0","0,06",Mannen,20
5,1960,"96,9","3,0","0,1","0,0","0,0","0,03",Mannen,20
6,1965,"97,6","2,4","0,1","0,0","0,0","0,03",Mannen,20
7,1970,"97,6","2,3","0,1","0,0","0,0","0,03",Mannen,20
8,1975,"98,2","1,7","0,1","0,0","0,0","0,02",Mannen,20
9,1980,"98,2","1,7","0,1","0,0","0,0","0,02",Mannen,20
10,1985,"98,7","1,2","0,1","0,0","0,0","0,01",Mannen,20
11,1990,"98,5","1,4","0,1","0,0","0,0","0,02",Mannen,20
12,1995,"99,0","1,0","0,1","0,0","0,0","0,01",Mannen,20
13,2000,"99,5","0,5","0,0","0,0","0,0","0,00",Mannen,20
14,2004,"99,7","0,3","0,0","0,0","0,0","0,00",Mannen,20
