,årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1,1940,"60,2","23,8","12,7","2,9","0,4","0,60",Mannen,25
2,1945,"55,5","26,3","14,7","3,1","0,4","0,67",Mannen,25
3,1950,"57,7","27,2","13,2","1,7","0,2","0,59",Mannen,25
4,1955,"66,7","23,1","9,4","0,7","0,1","0,44",Mannen,25
5,1960,"75,9","17,6","6,0","0,5","0,1","0,31",Mannen,25
6,1965,"78,4","16,2","4,8","0,6","0,1","0,28",Mannen,25
7,1970,"81,3","14,1","4,1","0,5","0,0","0,24",Mannen,25
8,1975,"85,5","11,0","3,1","0,3","0,1","0,18",Mannen,25
9,1980,"87,3","9,9","2,5","0,3","0,3","0,16",Mannen,25
10,1985,"87,0","9,9","2,6","0,3","0,1","0,16",Mannen,25
11,1990,"89,1","8,4","2,2","0,3","0,0","0,14",Mannen,25
12,1995,"92,7","5,7","1,5","0,2","0,0","0,09",Mannen,25
13,1999,"94,8","4,2","1,0","0,1","0,0","0,06",Mannen,25
