,årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1,1935,"9,8","10,5","30,4","27,4","21,8","2,41",Kvinnen,40
2,1940,"9,7","10,1","33,9","29,0","17,3","2,34",Kvinnen,40
3,1945,"9,2","11,9","41,6","26,3","11,0","2,18",Kvinnen,40
4,1950,"9,7","13,5","45,4","23,3","8,0","2,06",Kvinnen,40
5,1955,"11,7","14,6","42,1","23,9","7,7","2,01",Kvinnen,40
6,1960,"12,6","14,2","39,2","25,3","8,8","2,07",Kvinnen,40
7,1965,"13,3","14,4","40,0","24,3","7,9","2,02",Kvinnen,40
8,1970,"14,3","15,2","40,9","22,6","7,2","1,96",Kvinnen,40
9,1975,"15,3","15,7","41,1","21,3","6,5","1,91",Kvinnen,40
10,1980,"16,5","17,2","41,2","19,4","5,8","1,83",Kvinnen,40
11,1984,"17,74","17,4","41,5","17,9","5,43","1,78",Kvinnen,40
