årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1940,18.2,12.8,36.7,22.8,9.6,1.96,Mannen,35
1945,18.0,14.9,41.8,19.8,5.5,1.81,Mannen,35
1950,20.5,17.0,41.7,16.5,4.3,1.68,Mannen,35
1955,24.7,18.4,37.2,15.9,3.8,1.57,Mannen,35
1960,29.9,18.6,32.3,15.3,3.9,1.46,Mannen,35
1965,33.2,19.4,30.8,13.4,3.2,1.35,Mannen,35
1970,35.7,20.4,28.78,11.1,2.8,1.26,Mannen,35
1975,38.4,20.7,28.6,10.0,2.2,1.18,Mannen,35
1980,40.3,20.4,27.7,9.2,2.3,1.14,Mannen,35
1985,42.0,20.4,27.5,8.3,1.9,1.08,Mannen,35
1989,45.3,19.8,25.9,7.6,1.4,1.0,Mannen,35
