årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1935,"9,6","10,4","30,4","27,4","22,2","2,42",Kvinnen,45
1940,"9,5","10,1","33,7","29,1","17,6","2,35",Kvinnen,45
1945,"9,0","11,8","41,5","26,4","11,3","2,19",Kvinnen,45
1950,"9,4","13,3","45,4","23,5","8,4","2,08",Kvinnen,45
1955,"11,2","14,3","42,1","24,2","8,1","2,04",Kvinnen,45
1960,"11,9","13,8","39,4","25,6","9,2","2,10",Kvinnen,45
1965,"12,5","14,2","40,2","24,7","8,4","2,06",Kvinnen,45
1970,"13,4","14,7","41,2","23,1","7,6","2,00",Kvinnen,45
1975,"14,2","15,3","41,7","21,8","7,0","1,96",Kvinnen,45
1979,"15,4","16,4","41,6","20,1","6,5","1,89",Kvinnen,45
