år,pop_2.1
2063,5347261
2064,5329819
2065,5311533
2066,5292162
2067,5272494
2068,5252879
2069,5233435
2070,5213498
2071,5192849
2072,5171382
2073,5149277
2074,5126215
2075,5102427
2076,5077776
2077,5052136
2078,5025242
2079,4997329
2080,4967676
2081,4936641
2082,4904111
2083,4870870
2084,4837228
2085,4803692
2086,4770505
2087,4737664
2088,4705438
2089,4674331
2090,4644670
2091,4616428
2092,4589500
2093,4564758
2094,4542343
2095,4521608
2096,4502142
2097,4484009
2098,4466243
2099,4449036
2100,4431852
2101,4414305
2102,4396866
2103,4379633
2104,4362685
2105,4346233
2106,4330025
2107,4314014
2108,4298097
2109,4282877
2110,4268334
2111,4254226
2112,4240984
2113,4227740
