år,pop_1.5
2023,5488984
2024,5498949
2025,5508532
2026,5517217
2027,5525353
2028,5532803
2029,5539776
2030,5546027
2031,5551754
2032,5556892
2033,5561589
2034,5565713
2035,5569588
2036,5573138
2037,5576287
2038,5579061
2039,5581597
2040,5583903
2041,5585927
2042,5587662
2043,5589096
2044,5590079
2045,5590384
2046,5590220
2047,5589545
2048,5588233
2049,5586328
2050,5583956
2051,5579914
2052,5573271
2053,5564398
2054,5553380
2055,5540012
2056,5523949
2057,5505384
2058,5484444
2059,5461368
2060,5436012
2061,5408548
2062,5379467
2063,5349061
2064,5317207
2065,5284781
2066,5251588
2067,5218442
2068,5185400
2069,5152773
2070,5119930
2071,5086670
2072,5052777
2073,5018299
2074,4982957
2075,4946968
2076,4910390
2077,4872935
2078,4834478
2079,4794846
2080,4753763
2081,4711268
2082,4667515
2083,4622914
2084,4577994
2085,4533124
2086,4488411
2087,4443850
2088,4399522
2089,4355895
2090,4313294
2091,4271288
2092,4229741
2093,4189325
2094,4150123
2095,4111465
2096,4073093
2097,4035046
2098,3996810
2099,3958387
2100,3919440
2101,3879965
2102,3840278
2103,3800770
2104,3761425
2105,3722662
2106,3684420
2107,3646507
2108,3608842
2109,3572042
2110,3536098
2111,3500880
2112,3466525
2113,3432390
2114,3399410
2115,3366904
2116,3334831
2117,3303054
2118,3271630
2119,3240592
2120,3209939
2121,3179540
2122,3149425
2123,3119652
