sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,0,25310.0,37715.0,37058.0,36747.0,36456.0,35946.0,35368.0,35111.0,35015.0,34161.0,33678.0,33724.0,33382.0,33202.0,32875.0,32748.0,32323.0,32275.0,32072.0,31825.0,31712.0,31434.0,31265.0,30890.0,30937.0,30830.0,30558.0,30804.0,31030.0,31184.0,31616.0,32374.0,32977.0,33709.0,34040.0,34366.0
K,1,28037.0,25300.0,37702.0,37048.0,36730.0,36441.0,35937.0,35353.0,35101.0,35006.0,34153.0,33668.0,33710.0,33376.0,33194.0,32861.0,32739.0,32315.0,32268.0,32064.0,31820.0,31705.0,31430.0,31260.0,30889.0,30932.0,30827.0,30557.0,30801.0,31028.0,31184.0,31616.0,32371.0,32974.0,33707.0,34038.0
K,2,26820.0,28027.0,25292.0,37684.0,37033.0,36716.0,36425.0,35925.0,35344.0,35096.0,34990.0,34140.0,33659.0,33702.0,33369.0,33185.0,32848.0,32727.0,32314.0,32265.0,32061.0,31812.0,31701.0,31427.0,31256.0,30886.0,30929.0,30825.0,30555.0,30800.0,31024.0,31183.0,31616.0,32370.0,32974.0,33705.0
K,3,27466.0,26806.0,28018.0,25280.0,37673.0,37022.0,36702.0,36412.0,35913.0,35334.0,35084.0,34979.0,34124.0,33651.0,33695.0,33367.0,33179.0,32845.0,32717.0,32309.0,32258.0,32058.0,31807.0,31698.0,31424.0,31252.0,30885.0,30922.0,30823.0,30552.0,30795.0,31023.0,31182.0,31615.0,32367.0,32973.0
K,4,27692.0,27457.0,26790.0,28013.0,25271.0,37655.0,37005.0,36696.0,36404.0,35903.0,35323.0,35067.0,34974.0,34115.0,33646.0,33691.0,33358.0,33169.0,32837.0,32710.0,32300.0,32252.0,32054.0,31805.0,31690.0,31420.0,31250.0,30883.0,30921.0,30821.0,30551.0,30795.0,31020.0,31182.0,31615.0,32365.0
K,5,28546.0,27690.0,27456.0,26789.0,28012.0,25271.0,37654.0,37003.0,36694.0,36402.0,35900.0,35321.0,35062.0,34972.0,34115.0,33645.0,33691.0,33358.0,33169.0,32836.0,32710.0,32300.0,32252.0,32054.0,31805.0,31690.0,31419.0,31250.0,30883.0,30921.0,30821.0,30551.0,30794.0,31020.0,31181.0,31615.0
K,6,29714.0,28544.0,27690.0,27454.0,26786.0,28012.0,25269.0,37653.0,37002.0,36692.0,36401.0,35895.0,35321.0,35060.0,34972.0,34113.0,33645.0,33689.0,33357.0,33168.0,32835.0,32707.0,32300.0,32252.0,32054.0,31804.0,31690.0,31419.0,31250.0,30882.0,30921.0,30821.0,30551.0,30794.0,31020.0,31181.0
K,7,29958.0,29710.0,28544.0,27687.0,27453.0,26786.0,28011.0,25267.0,37650.0,36999.0,36692.0,36400.0,35895.0,35319.0,35060.0,34972.0,34113.0,33645.0,33688.0,33357.0,33168.0,32835.0,32706.0,32300.0,32251.0,32054.0,31804.0,31690.0,31418.0,31249.0,30882.0,30921.0,30821.0,30551.0,30794.0,31020.0
K,8,30221.0,29957.0,29708.0,28544.0,27685.0,27453.0,26786.0,28009.0,25265.0,37647.0,36999.0,36692.0,36400.0,35894.0,35318.0,35060.0,34972.0,34112.0,33645.0,33685.0,33357.0,33167.0,32835.0,32706.0,32300.0,32251.0,32054.0,31804.0,31689.0,31418.0,31248.0,30881.0,30921.0,30821.0,30551.0,30794.0
K,9,30613.0,30220.0,29955.0,29706.0,28543.0,27685.0,27453.0,26783.0,28009.0,25263.0,37646.0,36998.0,36691.0,36399.0,35892.0,35317.0,35060.0,34970.0,34112.0,33644.0,33685.0,33355.0,33166.0,32835.0,32706.0,32299.0,32251.0,32054.0,31804.0,31689.0,31418.0,31248.0,30881.0,30921.0,30821.0,30551.0
K,10,31377.0,30610.0,30217.0,29952.0,29705.0,28542.0,27682.0,27450.0,26780.0,28006.0,25261.0,37644.0,36994.0,36690.0,36398.0,35891.0,35317.0,35060.0,34970.0,34112.0,33643.0,33685.0,33355.0,33165.0,32834.0,32704.0,32299.0,32251.0,32054.0,31804.0,31689.0,31418.0,31248.0,30881.0,30921.0,30821.0
K,11,31526.0,31377.0,30610.0,30217.0,29948.0,29704.0,28540.0,27682.0,27449.0,26778.0,28005.0,25260.0,37643.0,36994.0,36688.0,36394.0,35891.0,35313.0,35060.0,34970.0,34111.0,33643.0,33685.0,33355.0,33165.0,32834.0,32703.0,32299.0,32251.0,32053.0,31804.0,31689.0,31418.0,31248.0,30881.0,30921.0
