sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,0,25310.0,27070.0,26720.0,26421.0,26192.0,25822.0,25718.0,24993.0,25125.0,24712.0,24656.0,24379.0,24097.0,23853.0,23878.0,23472.0,23721.0,23579.0,23186.0,23230.0,23243.0,22977.0,22369.0,22310.0,21944.0,21685.0,21470.0,21088.0,21009.0,20508.0,20237.0,20133.0,19799.0,19508.0,19433.0,19157.0,19133.0,18929.0,18853.0,18494.0,18397.0,18347.0,18302.0,17911.0,17917.0,17609.0,17567.0,17435.0,17390.0,17283.0,17067.0,16905.0,16657.0,16776.0,16372.0,16246.0,16152.0,15988.0,15728.0,15527.0,15477.0,15166.0,15026.0,14923.0,14523.0,14534.0,14234.0,14295.0,14148.0,14053.0,13833.0,13669.0,13616.0,13364.0,13466.0,13412.0,13026.0,12996.0,12983.0,12679.0,12847.0,12540.0,12550.0,12500.0,12375.0,12071.0,12163.0,12139.0,11816.0,11628.0,11604.0,11443.0,11262.0,11241.0,11058.0,10904.0,10908.0,10731.0,10700.0,10472.0,10408.0
K,1,28037.0,25303.0,27058.0,26709.0,26407.0,26181.0,25815.0,25711.0,24983.0,25112.0,24707.0,24645.0,24373.0,24090.0,23849.0,23868.0,23468.0,23719.0,23575.0,23180.0,23229.0,23240.0,22974.0,22366.0,22309.0,21943.0,21685.0,21468.0,21088.0,21009.0,20507.0,20236.0,20130.0,19798.0,19507.0,19432.0,19155.0,19131.0,18929.0,18853.0,18493.0,18397.0,18347.0,18302.0,17911.0,17916.0,17608.0,17567.0,17435.0,17390.0,17282.0,17067.0,16904.0,16656.0,16776.0,16372.0,16246.0,16150.0,15988.0,15728.0,15526.0,15475.0,15163.0,15026.0,14922.0,14522.0,14534.0,14234.0,14293.0,14148.0,14053.0,13832.0,13669.0,13616.0,13364.0,13466.0,13411.0,13026.0,12996.0,12983.0,12679.0,12847.0,12538.0,12550.0,12500.0,12375.0,12071.0,12163.0,12139.0,11814.0,11628.0,11604.0,11441.0,11261.0,11240.0,11058.0,10904.0,10908.0,10731.0,10700.0,10472.0
K,2,26820.0,28026.0,25289.0,27043.0,26690.0,26397.0,26172.0,25808.0,25702.0,24973.0,25107.0,24701.0,24637.0,24365.0,24077.0,23847.0,23865.0,23461.0,23712.0,23572.0,23178.0,23225.0,23239.0,22971.0,22364.0,22308.0,21942.0,21684.0,21467.0,21087.0,21008.0,20507.0,20234.0,20128.0,19797.0,19506.0,19431.0,19155.0,19130.0,18929.0,18851.0,18493.0,18396.0,18347.0,18301.0,17911.0,17916.0,17607.0,17566.0,17434.0,17390.0,17282.0,17066.0,16904.0,16655.0,16775.0,16372.0,16245.0,16149.0,15988.0,15728.0,15526.0,15474.0,15161.0,15026.0,14922.0,14522.0,14533.0,14234.0,14292.0,14148.0,14051.0,13832.0,13669.0,13616.0,13364.0,13466.0,13411.0,13025.0,12996.0,12982.0,12679.0,12847.0,12538.0,12549.0,12498.0,12374.0,12070.0,12163.0,12139.0,11813.0,11628.0,11603.0,11441.0,11261.0,11240.0,11058.0,10904.0,10906.0,10730.0,10700.0
K,3,27466.0,26811.0,28017.0,25276.0,27026.0,26677.0,26390.0,26162.0,25795.0,25696.0,24966.0,25096.0,24692.0,24633.0,24355.0,24071.0,23842.0,23862.0,23458.0,23708.0,23570.0,23175.0,23221.0,23234.0,22970.0,22363.0,22305.0,21942.0,21682.0,21466.0,21085.0,21006.0,20504.0,20232.0,20127.0,19797.0,19506.0,19431.0,19154.0,19128.0,18929.0,18851.0,18492.0,18396.0,18347.0,18301.0,17911.0,17916.0,17607.0,17565.0,17434.0,17388.0,17281.0,17066.0,16904.0,16655.0,16775.0,16370.0,16245.0,16149.0,15988.0,15728.0,15526.0,15474.0,15160.0,15025.0,14921.0,14520.0,14532.0,14234.0,14291.0,14148.0,14051.0,13832.0,13669.0,13616.0,13363.0,13465.0,13410.0,13024.0,12995.0,12982.0,12678.0,12847.0,12538.0,12549.0,12498.0,12373.0,12070.0,12163.0,12139.0,11813.0,11626.0,11603.0,11441.0,11261.0,11239.0,11058.0,10904.0,10906.0,10730.0
K,4,27692.0,27460.0,26793.0,28006.0,25268.0,27018.0,26668.0,26375.0,26155.0,25777.0,25689.0,24956.0,25091.0,24687.0,24627.0,24347.0,24065.0,23840.0,23856.0,23456.0,23702.0,23565.0,23175.0,23216.0,23233.0,22965.0,22361.0,22304.0,21942.0,21682.0,21466.0,21083.0,21005.0,20502.0,20232.0,20127.0,19796.0,19505.0,19429.0,19154.0,19125.0,18927.0,18850.0,18492.0,18395.0,18346.0,18301.0,17911.0,17916.0,17606.0,17564.0,17433.0,17386.0,17279.0,17066.0,16904.0,16655.0,16774.0,16370.0,16242.0,16149.0,15987.0,15727.0,15526.0,15474.0,15160.0,15025.0,14921.0,14519.0,14531.0,14234.0,14290.0,14147.0,14050.0,13832.0,13669.0,13616.0,13361.0,13465.0,13410.0,13024.0,12995.0,12982.0,12678.0,12847.0,12538.0,12549.0,12498.0,12372.0,12070.0,12163.0,12138.0,11813.0,11626.0,11603.0,11441.0,11261.0,11239.0,11058.0,10904.0,10906.0
K,5,28546.0,27692.0,27458.0,26792.0,28006.0,25266.0,27014.0,26668.0,26373.0,26155.0,25777.0,25689.0,24956.0,25089.0,24686.0,24627.0,24346.0,24064.0,23840.0,23856.0,23456.0,23702.0,23565.0,23175.0,23216.0,23233.0,22965.0,22360.0,22304.0,21942.0,21681.0,21464.0,21082.0,21005.0,20502.0,20232.0,20126.0,19796.0,19505.0,19429.0,19154.0,19125.0,18927.0,18850.0,18492.0,18395.0,18346.0,18301.0,17911.0,17916.0,17606.0,17564.0,17433.0,17386.0,17279.0,17065.0,16904.0,16655.0,16774.0,16370.0,16241.0,16149.0,15987.0,15727.0,15526.0,15474.0,15160.0,15025.0,14921.0,14519.0,14531.0,14234.0,14290.0,14147.0,14050.0,13832.0,13669.0,13616.0,13360.0,13465.0,13410.0,13024.0,12995.0,12982.0,12678.0,12847.0,12538.0,12549.0,12498.0,12372.0,12070.0,12163.0,12138.0,11813.0,11626.0,11603.0,11441.0,11261.0,11239.0,11058.0,10904.0
K,6,29714.0,28543.0,27690.0,27457.0,26792.0,28005.0,25266.0,27014.0,26665.0,26373.0,26155.0,25776.0,25689.0,24954.0,25088.0,24684.0,24627.0,24346.0,24063.0,23839.0,23856.0,23454.0,23702.0,23565.0,23174.0,23216.0,23233.0,22965.0,22360.0,22304.0,21942.0,21681.0,21464.0,21081.0,21005.0,20502.0,20232.0,20126.0,19796.0,19505.0,19429.0,19154.0,19125.0,18927.0,18850.0,18492.0,18395.0,18346.0,18301.0,17911.0,17915.0,17606.0,17564.0,17433.0,17386.0,17279.0,17065.0,16904.0,16655.0,16774.0,16370.0,16241.0,16149.0,15987.0,15727.0,15526.0,15474.0,15160.0,15025.0,14921.0,14519.0,14531.0,14234.0,14290.0,14147.0,14050.0,13832.0,13669.0,13616.0,13360.0,13465.0,13410.0,13023.0,12995.0,12982.0,12678.0,12847.0,12538.0,12549.0,12498.0,12372.0,12070.0,12162.0,12138.0,11813.0,11626.0,11603.0,11441.0,11261.0,11239.0,11058.0
K,7,29958.0,29713.0,28540.0,27688.0,27455.0,26790.0,28003.0,25266.0,27014.0,26664.0,26373.0,26155.0,25776.0,25688.0,24954.0,25088.0,24684.0,24626.0,24346.0,24063.0,23838.0,23856.0,23454.0,23702.0,23565.0,23173.0,23216.0,23233.0,22965.0,22360.0,22304.0,21941.0,21681.0,21464.0,21081.0,21005.0,20502.0,20232.0,20126.0,19796.0,19505.0,19429.0,19154.0,19125.0,18926.0,18850.0,18492.0,18395.0,18346.0,18301.0,17911.0,17915.0,17606.0,17564.0,17433.0,17386.0,17279.0,17065.0,16904.0,16655.0,16774.0,16370.0,16241.0,16149.0,15987.0,15727.0,15526.0,15474.0,15160.0,15025.0,14921.0,14519.0,14531.0,14233.0,14289.0,14147.0,14050.0,13832.0,13669.0,13616.0,13360.0,13465.0,13410.0,13023.0,12995.0,12982.0,12678.0,12847.0,12538.0,12549.0,12498.0,12372.0,12070.0,12162.0,12138.0,11813.0,11626.0,11603.0,11441.0,11261.0,11239.0
K,8,30221.0,29958.0,29712.0,28539.0,27688.0,27454.0,26790.0,28003.0,25266.0,27014.0,26662.0,26373.0,26154.0,25776.0,25687.0,24953.0,25088.0,24683.0,24625.0,24346.0,24063.0,23838.0,23855.0,23454.0,23702.0,23564.0,23173.0,23215.0,23233.0,22965.0,22360.0,22304.0,21941.0,21681.0,21464.0,21081.0,21005.0,20502.0,20232.0,20126.0,19796.0,19505.0,19429.0,19153.0,19125.0,18925.0,18850.0,18492.0,18395.0,18345.0,18301.0,17911.0,17915.0,17606.0,17564.0,17433.0,17386.0,17279.0,17065.0,16904.0,16655.0,16774.0,16370.0,16241.0,16149.0,15987.0,15727.0,15526.0,15474.0,15160.0,15025.0,14921.0,14519.0,14531.0,14233.0,14289.0,14147.0,14050.0,13832.0,13669.0,13616.0,13360.0,13465.0,13410.0,13023.0,12995.0,12982.0,12678.0,12847.0,12538.0,12549.0,12498.0,12372.0,12070.0,12162.0,12138.0,11813.0,11626.0,11603.0,11441.0,11261.0
K,9,30613.0,30221.0,29957.0,29711.0,28538.0,27686.0,27452.0,26787.0,28001.0,25266.0,27013.0,26661.0,26371.0,26152.0,25776.0,25687.0,24953.0,25088.0,24683.0,24625.0,24346.0,24063.0,23838.0,23855.0,23454.0,23702.0,23563.0,23173.0,23215.0,23233.0,22965.0,22360.0,22304.0,21941.0,21681.0,21463.0,21080.0,21005.0,20502.0,20232.0,20126.0,19796.0,19505.0,19429.0,19153.0,19125.0,18925.0,18850.0,18492.0,18395.0,18345.0,18301.0,17911.0,17915.0,17606.0,17564.0,17433.0,17386.0,17279.0,17065.0,16904.0,16655.0,16774.0,16370.0,16241.0,16149.0,15987.0,15727.0,15526.0,15474.0,15160.0,15025.0,14921.0,14519.0,14531.0,14233.0,14289.0,14147.0,14050.0,13832.0,13669.0,13616.0,13360.0,13465.0,13410.0,13023.0,12995.0,12981.0,12678.0,12847.0,12538.0,12549.0,12498.0,12372.0,12070.0,12162.0,12138.0,11813.0,11626.0,11603.0,11441.0
