sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053
K,0,23788.0,23646.0,25507.0,27036.0,28732.0,30122.0,31755.0,31367.0,31268.0,30465.0,30097.0,29525.0,29095.0,28700.0,28229.0,28044.0
K,1,23820.0,23780.0,23641.0,25499.0,27031.0,28729.0,30118.0,31750.0,31364.0,31265.0,30462.0,30094.0,29525.0,29094.0,28697.0,28227.0
K,2,23748.0,23814.0,23776.0,23634.0,25495.0,27027.0,28727.0,30116.0,31746.0,31362.0,31263.0,30460.0,30094.0,29522.0,29093.0,28696.0
K,3,23927.0,23745.0,23809.0,23775.0,23631.0,25491.0,27020.0,28726.0,30111.0,31745.0,31361.0,31262.0,30460.0,30093.0,29519.0,29090.0
K,4,24298.0,23922.0,23740.0,23804.0,23772.0,23628.0,25487.0,27016.0,28723.0,30107.0,31743.0,31359.0,31259.0,30459.0,30091.0,29518.0
K,5,24702.0,24298.0,23921.0,23740.0,23804.0,23769.0,23628.0,25487.0,27015.0,28723.0,30106.0,31743.0,31358.0,31259.0,30459.0,30091.0
K,6,24684.0,24702.0,24297.0,23920.0,23739.0,23804.0,23769.0,23628.0,25486.0,27014.0,28723.0,30106.0,31743.0,31358.0,31259.0,30459.0
K,7,25012.0,24684.0,24702.0,24297.0,23920.0,23739.0,23804.0,23769.0,23628.0,25486.0,27014.0,28723.0,30106.0,31743.0,31358.0,31258.0
K,8,25373.0,25012.0,24684.0,24701.0,24296.0,23920.0,23738.0,23804.0,23769.0,23628.0,25486.0,27014.0,28723.0,30106.0,31743.0,31358.0
K,9,25498.0,25372.0,25012.0,24684.0,24701.0,24296.0,23920.0,23737.0,23803.0,23769.0,23628.0,25486.0,27014.0,28723.0,30106.0,31743.0
K,10,25774.0,25498.0,25371.0,25011.0,24684.0,24699.0,24296.0,23920.0,23737.0,23803.0,23769.0,23628.0,25485.0,27014.0,28723.0,30106.0
K,11,26037.0,25773.0,25496.0,25371.0,25011.0,24683.0,24699.0,24296.0,23919.0,23737.0,23802.0,23769.0,23628.0,25485.0,27013.0,28723.0
K,12,26160.0,26037.0,25773.0,25496.0,25371.0,25011.0,24683.0,24699.0,24296.0,23919.0,23735.0,23800.0,23769.0,23628.0,25485.0,27013.0
K,13,26651.0,26159.0,26036.0,25773.0,25495.0,25370.0,25011.0,24682.0,24698.0,24296.0,23919.0,23735.0,23798.0,23769.0,23628.0,25485.0
K,14,26822.0,26649.0,26159.0,26035.0,25773.0,25494.0,25370.0,25009.0,24681.0,24697.0,24296.0,23919.0,23735.0,23798.0,23769.0,23627.0
K,15,25255.0,26821.0,26648.0,26157.0,26034.0,25770.0,25493.0,25369.0,25008.0,24679.0,24696.0,24296.0,23918.0,23735.0,23798.0,23769.0
K,16,27984.0,25253.0,26817.0,26646.0,26154.0,26031.0,25769.0,25489.0,25368.0,25007.0,24678.0,24695.0,24296.0,23918.0,23734.0,23797.0
K,17,26782.0,27981.0,25253.0,26812.0,26643.0,26151.0,26030.0,25765.0,25487.0,25368.0,25006.0,24678.0,24694.0,24295.0,23918.0,23732.0
K,18,27436.0,26779.0,27978.0,25251.0,26810.0,26640.0,26148.0,26030.0,25765.0,25486.0,25366.0,25006.0,24678.0,24693.0,24295.0,23917.0
K,19,27667.0,27433.0,26776.0,27977.0,25247.0,26808.0,26639.0,26147.0,26030.0,25765.0,25485.0,25365.0,25006.0,24678.0,24690.0,24293.0
K,20,28494.0,27662.0,27426.0,26775.0,27970.0,25246.0,26804.0,26636.0,26146.0,26029.0,25764.0,25484.0,25365.0,25005.0,24677.0,24689.0
K,21,29662.0,28490.0,27660.0,27424.0,26771.0,27966.0,25245.0,26801.0,26636.0,26145.0,26028.0,25763.0,25483.0,25362.0,25005.0,24676.0
K,22,29904.0,29659.0,28487.0,27659.0,27419.0,26769.0,27961.0,25241.0,26801.0,26636.0,26145.0,26025.0,25762.0,25482.0,25360.0,25005.0
K,23,30167.0,29903.0,29653.0,28481.0,27658.0,27419.0,26766.0,27960.0,25238.0,26797.0,26636.0,26144.0,26025.0,25760.0,25481.0,25359.0
K,24,30555.0,30162.0,29900.0,29651.0,28475.0,27655.0,27418.0,26764.0,27959.0,25236.0,26796.0,26636.0,26144.0,26024.0,25759.0,25481.0
K,25,31302.0,30553.0,30157.0,29893.0,29645.0,28469.0,27652.0,27417.0,26760.0,27955.0,25232.0,26794.0,26633.0,26144.0,26024.0,25758.0
K,26,31440.0,31296.0,30552.0,30154.0,29890.0,29640.0,28465.0,27649.0,27413.0,26759.0,27955.0,25230.0,26794.0,26632.0,26142.0,26023.0
K,27,32528.0,31436.0,31293.0,30550.0,30151.0,29884.0,29635.0,28462.0,27648.0,27410.0,26757.0,27952.0,25230.0,26791.0,26631.0,26142.0
K,28,32938.0,32519.0,31432.0,31289.0,30548.0,30147.0,29881.0,29630.0,28456.0,27646.0,27407.0,26754.0,27952.0,25228.0,26787.0,26631.0
K,29,32476.0,32934.0,32512.0,31425.0,31284.0,30545.0,30143.0,29878.0,29628.0,28455.0,27645.0,27405.0,26754.0,27952.0,25226.0,26787.0
K,30,31786.0,32470.0,32929.0,32502.0,31419.0,31277.0,30538.0,30139.0,29877.0,29626.0,28453.0,27643.0,27405.0,26753.0,27950.0,25226.0
K,31,32002.0,31784.0,32462.0,32923.0,32497.0,31408.0,31275.0,30535.0,30138.0,29875.0,29624.0,28451.0,27642.0,27404.0,26750.0,27949.0
K,32,31395.0,31995.0,31781.0,32457.0,32918.0,32493.0,31402.0,31267.0,30532.0,30134.0,29869.0,29622.0,28450.0,27642.0,27403.0,26749.0
K,33,31466.0,31386.0,31988.0,31773.0,32455.0,32913.0,32490.0,31398.0,31265.0,30530.0,30132.0,29866.0,29622.0,28447.0,27639.0,27400.0
K,34,31327.0,31462.0,31380.0,31981.0,31767.0,32452.0,32909.0,32484.0,31392.0,31263.0,30528.0,30129.0,29864.0,29622.0,28447.0,27637.0
K,35,30991.0,31317.0,31454.0,31375.0,31972.0,31764.0,32448.0,32906.0,32482.0,31386.0,31260.0,30522.0,30124.0,29863.0,29621.0,28447.0
K,36,31457.0,30980.0,31313.0,31447.0,31367.0,31964.0,31760.0,32443.0,32901.0,32478.0,31379.0,31259.0,30517.0,30120.0,29861.0,29619.0
K,37,32720.0,31452.0,30973.0,31307.0,31441.0,31362.0,31960.0,31755.0,32439.0,32897.0,32476.0,31372.0,31258.0,30516.0,30119.0,29858.0
K,38,32933.0,32709.0,31446.0,30967.0,31298.0,31436.0,31353.0,31957.0,31751.0,32435.0,32895.0,32472.0,31369.0,31255.0,30513.0,30115.0
K,39,33227.0,32926.0,32705.0,31440.0,30965.0,31290.0,31431.0,31346.0,31954.0,31749.0,32433.0,32893.0,32466.0,31364.0,31253.0,30509.0
K,40,34221.0,33207.0,32916.0,32701.0,31428.0,30955.0,31283.0,31425.0,31340.0,31951.0,31741.0,32432.0,32889.0,32465.0,31362.0,31250.0
K,41,35538.0,34206.0,33191.0,32911.0,32693.0,31418.0,30947.0,31277.0,31414.0,31334.0,31948.0,31739.0,32428.0,32887.0,32463.0,31359.0
K,42,35732.0,35527.0,34197.0,33183.0,32902.0,32686.0,31406.0,30940.0,31273.0,31409.0,31330.0,31944.0,31735.0,32425.0,32883.0,32461.0
K,43,36178.0,35721.0,35515.0,34186.0,33176.0,32895.0,32679.0,31399.0,30935.0,31263.0,31402.0,31325.0,31938.0,31729.0,32421.0,32880.0
K,44,36766.0,36168.0,35708.0,35506.0,34176.0,33160.0,32889.0,32669.0,31393.0,30926.0,31257.0,31397.0,31318.0,31936.0,31728.0,32417.0
K,45,37433.0,36751.0,36143.0,35697.0,35492.0,34164.0,33152.0,32879.0,32658.0,31378.0,30922.0,31252.0,31392.0,31315.0,31928.0,31720.0
K,46,38275.0,37418.0,36731.0,36127.0,35687.0,35480.0,34153.0,33147.0,32868.0,32650.0,31374.0,30917.0,31247.0,31388.0,31311.0,31921.0
K,47,39082.0,38261.0,37403.0,36710.0,36113.0,35667.0,35471.0,34145.0,33134.0,32864.0,32640.0,31369.0,30913.0,31243.0,31384.0,31309.0
K,48,38590.0,39065.0,38248.0,37391.0,36688.0,36097.0,35656.0,35461.0,34128.0,33125.0,32857.0,32635.0,31364.0,30906.0,31239.0,31373.0
K,49,38255.0,38567.0,39050.0,38233.0,37379.0,36677.0,36082.0,35642.0,35451.0,34117.0,33117.0,32852.0,32624.0,31362.0,30901.0,31236.0
K,50,37095.0,38218.0,38534.0,39021.0,38204.0,37356.0,36648.0,36069.0,35623.0,35442.0,34106.0,33105.0,32846.0,32617.0,31355.0,30899.0
K,51,36380.0,37059.0,38190.0,38505.0,39000.0,38180.0,37332.0,36636.0,36053.0,35607.0,35427.0,34100.0,33098.0,32840.0,32610.0,31352.0
K,52,35761.0,36354.0,37041.0,38161.0,38480.0,38972.0,38159.0,37319.0,36623.0,36032.0,35596.0,35416.0,34088.0,33087.0,32830.0,32600.0
K,53,35473.0,35736.0,36337.0,37011.0,38131.0,38459.0,38946.0,38143.0,37306.0,36614.0,36021.0,35588.0,35409.0,34078.0,33079.0,32822.0
K,54,34803.0,35436.0,35695.0,36306.0,36982.0,38107.0,38445.0,38932.0,38124.0,37286.0,36601.0,36009.0,35583.0,35401.0,34073.0,33074.0
K,55,35025.0,34748.0,35395.0,35648.0,36270.0,36953.0,38074.0,38411.0,38901.0,38099.0,37263.0,36583.0,35991.0,35573.0,35387.0,34065.0
K,56,34421.0,34965.0,34699.0,35352.0,35616.0,36232.0,36923.0,38038.0,38380.0,38870.0,38080.0,37240.0,36562.0,35984.0,35566.0,35377.0
