sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,0,23788.0,23386.0,25469.0,27181.0,28886.0,30355.0,31765.0,31230.0,31229.0,30511.0,30369.0,29689.0,29340.0,28766.0,28488.0,27937.0,27562.0,27395.0,27076.0,26792.0,26631.0
K,1,23820.0,23782.0,23382.0,25467.0,27180.0,28881.0,30355.0,31762.0,31228.0,31226.0,30508.0,30368.0,29686.0,29339.0,28762.0,28485.0,27937.0,27559.0,27393.0,27076.0,26791.0
K,2,23748.0,23813.0,23777.0,23379.0,25462.0,27175.0,28876.0,30352.0,31759.0,31224.0,31225.0,30502.0,30367.0,29686.0,29339.0,28760.0,28482.0,27935.0,27559.0,27390.0,27074.0
K,3,23927.0,23744.0,23808.0,23770.0,23371.0,25459.0,27170.0,28873.0,30349.0,31759.0,31223.0,31224.0,30501.0,30367.0,29683.0,29339.0,28759.0,28480.0,27935.0,27557.0,27390.0
K,4,24298.0,23925.0,23741.0,23806.0,23768.0,23368.0,25459.0,27166.0,28868.0,30346.0,31756.0,31222.0,31223.0,30498.0,30362.0,29683.0,29338.0,28757.0,28476.0,27935.0,27555.0
K,5,24702.0,24298.0,23924.0,23741.0,23806.0,23768.0,23368.0,25459.0,27165.0,28868.0,30346.0,31756.0,31222.0,31223.0,30498.0,30362.0,29683.0,29337.0,28757.0,28475.0,27935.0
K,6,24684.0,24702.0,24297.0,23924.0,23741.0,23806.0,23768.0,23368.0,25458.0,27165.0,28868.0,30346.0,31756.0,31222.0,31223.0,30498.0,30362.0,29682.0,29337.0,28756.0,28475.0
K,7,25012.0,24684.0,24701.0,24296.0,23922.0,23741.0,23806.0,23768.0,23368.0,25458.0,27165.0,28868.0,30346.0,31756.0,31222.0,31223.0,30498.0,30362.0,29682.0,29337.0,28756.0
K,8,25373.0,25011.0,24683.0,24700.0,24296.0,23921.0,23740.0,23806.0,23766.0,23368.0,25457.0,27165.0,28868.0,30346.0,31756.0,31222.0,31223.0,30498.0,30362.0,29681.0,29337.0
K,9,25498.0,25372.0,25011.0,24681.0,24700.0,24296.0,23921.0,23740.0,23806.0,23766.0,23368.0,25457.0,27165.0,28868.0,30346.0,31756.0,31222.0,31222.0,30498.0,30362.0,29681.0
K,10,25774.0,25496.0,25372.0,25011.0,24680.0,24700.0,24295.0,23921.0,23740.0,23806.0,23766.0,23367.0,25457.0,27165.0,28868.0,30345.0,31755.0,31222.0,31220.0,30498.0,30362.0
K,11,26037.0,25773.0,25495.0,25372.0,25010.0,24680.0,24700.0,24295.0,23921.0,23740.0,23806.0,23766.0,23367.0,25457.0,27165.0,28866.0,30345.0,31755.0,31222.0,31220.0,30498.0
