pop_1.6,pop_1.8,pop_2.1,pop_2.3,år,pop_1.4
4159187,4159187,4159187,4159187,1986,4159187
4175521,4175521,4175521,4175521,1987,4175521
4198289,4198289,4198289,4198289,1988,4198289
4220686,4220686,4220686,4220686,1989,4220686
4233116,4233116,4233116,4233116,1990,4233116
4249830,4249830,4249830,4249830,1991,4249830
4273634,4273634,4273634,4273634,1992,4273634
4299167,4299167,4299167,4299167,1993,4299167
4324815,4324815,4324815,4324815,1994,4324815
4348410,4348410,4348410,4348410,1995,4348410
4369957,4369957,4369957,4369957,1996,4369957
4392714,4392714,4392714,4392714,1997,4392714
4417599,4417599,4417599,4417599,1998,4417599
4445329,4445329,4445329,4445329,1999,4445329
4478497,4478497,4478497,4478497,2000,4478497
4503436,4503436,4503436,4503436,2001,4503436
4524066,4524066,4524066,4524066,2002,4524066
4552252,4552252,4552252,4552252,2003,4552252
4577457,4577457,4577457,4577457,2004,4577457
4606363,4606363,4606363,4606363,2005,4606363
4640219,4640219,4640219,4640219,2006,4640219
4681134,4681134,4681134,4681134,2007,4681134
4737171,4737171,4737171,4737171,2008,4737171
4799252,4799252,4799252,4799252,2009,4799252
4858199,4858199,4858199,4858199,2010,4858199
4920305,4920305,4920305,4920305,2011,4920305
4985870,4985870,4985870,4985870,2012,4985870
5051275,5051275,5051275,5051275,2013,5051275
5109056,5109056,5109056,5109056,2014,5109056
5165802,5165802,5165802,5165802,2015,5165802
5213985,5213985,5213985,5213985,2016,5213985
5258317,5258317,5258317,5258317,2017,5258317
5295619,5295619,5295619,5295619,2018,5295619
5328212,5328212,5328212,5328212,2019,5328212
5367580,5367580,5367580,5367580,2020,5367580
5391369,5391369,5391369,5391369,2021,5391369
5425270,5425270,5425270,5425270,2022,5425270
5488984,5488984,5488984,5488984,2023,5488984
5550203,5550203,5550203,5550203,2024,5550203
5586748,5591961,5599723,5604740,2025,5581713
5622940,5633265,5648745,5658734,2026,5612894
5654869,5670285,5693313,5708239,2027,5639815
5684688,5705112,5735630,5755409,2028,5664702
5712464,5737860,5775850,5800361,2029,5687600
5738322,5768602,5813962,5843160,2030,5708646
5762337,5797374,5850010,5883859,2031,5727890
5784643,5824325,5884126,5922513,2032,5745408
5805294,5849538,5916339,5959085,2033,5761333
5824384,5873048,5946714,5993721,2034,5775710
5841939,5894923,5975299,6026484,2035,5788672
5858054,5915270,6002306,6057433,2036,5800315
5872845,5934192,6027766,6086725,2037,5810683
5886326,5951757,6051766,6114492,2038,5819809
5898626,5968142,6074492,6140994,2039,5827865
5909793,5983348,6096038,6166280,2040,5834851
5919923,5997433,6116447,6190429,2041,5840800
5929054,6010512,6135723,6213503,2042,5845765
5937282,6022612,6153933,6235562,2043,5849791
5944593,6033844,6171144,6256600,2044,5852964
5951057,6044238,6187459,6276691,2045,5855338
5958083,6055672,6205501,6299180,2046,5857921
5965704,6068171,6225321,6324093,2047,5860713
5973722,6081549,6246747,6351104,2048,5863559
5982085,6095659,6269676,6380118,2049,5866424
5990738,6110438,6293891,6411079,2050,5869246
5999609,6125771,6319308,6443752,2051,5872001
6008662,6141608,6345865,6478023,2052,5874659
6017827,6157887,6373464,6513729,2053,5877146
6027050,6174553,6401911,6550719,2054,5879418
6036248,6191489,6431148,6588811,2055,5881479
6045367,6208613,6461044,6627902,2056,5883276
6054366,6225831,6491484,6667794,2057,5884786
6063226,6243059,6522367,6708359,2058,5885958
6071844,6260240,6553538,6749371,2059,5886773
6078959,6275675,6582648,6787940,2060,5886277
6084472,6289302,6609628,6824152,2061,5884483
6088653,6301341,6634687,6858245,2062,5881554
6091575,6311901,6657933,6890296,2063,5877525
6093304,6321058,6679503,6920396,2064,5872445
6093913,6328909,6699462,6948674,2065,5866397
6093486,6335531,6717868,6975261,2066,5859429
6092110,6341058,6734988,7000461,2067,5851652
6089905,6345692,6751141,7024670,2068,5843181
6086990,6349588,6766559,7048143,2069,5834089
6083488,6352904,6781446,7071140,2070,5824435
6079505,6355776,6796038,7094020,2071,5814285
6075110,6358334,6810441,7116996,2072,5803692
6070429,6360690,6824882,7140356,2073,5792722
6065511,6362983,6839568,7164288,2074,5781425
6060461,6365286,6854657,7188939,2075,5769886
6055309,6367717,6870225,7214469,2076,5758140
6050086,6370329,6886386,7241078,2077,5746230
6044814,6373172,6903297,7268881,2078,5734171
6039626,6376265,6921051,7298018,2079,5722010
6034490,6379665,6939705,7328521,2080,5709774
6029325,6383247,6959005,7360065,2081,5697365
6024031,6386822,6978689,7392281,2082,5684737
6018513,6390248,6998525,7424849,2083,5671844
6012701,6393442,7018335,7457535,2084,5658666
6006526,6396264,7037865,7490048,2085,5645133
5999947,6398630,7056971,7522106,2086,5631234
5992882,6400463,7075460,7553517,2087,5616920
5985278,6401619,7093215,7584017,2088,5602162
5977099,6402056,7110018,7613458,2089,5586934
5968306,6401670,7125844,7641803,2090,5571224
5958867,6400469,7140614,7668949,2091,5555036
5948791,6398465,7154283,7694838,2092,5538362
5938019,6395661,7166838,7719399,2093,5521205
5926611,6392025,7178303,7742698,2094,5503578
5914633,6387687,7188842,7764924,2095,5485516
5902142,6382747,7198629,7786368,2096,5467077
5889228,6377298,7207782,7807259,2097,5448293
5875953,6371444,7216502,7827774,2098,5429202
5862350,6365296,7224951,7848216,2099,5409869
5848508,6358901,7233298,7868802,2100,5390325
5834468,6352343,7241694,7889676,2101,5370616
5820293,6345722,7250240,7911108,2102,5350766
5805984,6339097,7259068,7933164,2103,5330789
5791594,6332501,7268238,7955830,2104,5310729
5777145,6325951,7277746,7979243,2105,5290574
5762666,6319419,7287628,8003337,2106,5270330
