år,pop_1.4,pop_2.1,pop_2.7
1986,4159187,4159187,4159187
1987,4175521,4175521,4175521
1988,4198289,4198289,4198289
1989,4220686,4220686,4220686
1990,4233116,4233116,4233116
1991,4249830,4249830,4249830
1992,4273634,4273634,4273634
1993,4299167,4299167,4299167
1994,4324815,4324815,4324815
1995,4348410,4348410,4348410
1996,4369957,4369957,4369957
1997,4392714,4392714,4392714
1998,4417599,4417599,4417599
1999,4445329,4445329,4445329
2000,4478497,4478497,4478497
2001,4503436,4503436,4503436
2002,4524066,4524066,4524066
2003,4552252,4552252,4552252
2004,4577457,4577457,4577457
2005,4606363,4606363,4606363
2006,4640219,4640219,4640219
2007,4681134,4681134,4681134
2008,4737171,4737171,4737171
2009,4799252,4799252,4799252
2010,4858199,4858199,4858199
2011,4920305,4920305,4920305
2012,4985870,4985870,4985870
2013,5051275,5051275,5051275
2014,5109056,5109056,5109056
2015,5165802,5165802,5165802
2016,5213985,5213985,5213985
2017,5258317,5258317,5258317
2018,5295619,5295619,5295619
2019,5328212,5328212,5328212
2020,5367580,5367580,5367580
2021,5391369,5391369,5391369
2022,5425270,5425270,5425270
2023,5488984,5488984,5488984
2024,5550203,5550203,5550203
2025,5581709,5599632,5615062
2026,5612896,5648563,5679214
2027,5639896,5693105,5738794
2028,5664779,5735365,5796012
2029,5687680,5775530,5850822
2030,5708670,5813645,5903330
2031,5727872,5849795,5953471
2032,5745375,5883970,6001202
2033,5761253,5916206,6046466
2034,5775607,5946596,6089493
2035,5788560,5975225,6130365
2036,5800145,6002205,6169195
2037,5810425,6027680,6206118
2038,5819502,6051705,6241476
2039,5827442,6074527,6275502
2040,5834298,6096112,6308250
2041,5840131,6116527,6339740
2042,5844990,6135829,6370007
2043,5848963,6154077,6399178
2044,5852080,6171326,6427254
2045,5854408,6187613,6454222
2046,5856933,6205685,6485001
2047,5859698,6225578,6519703
2048,5862516,6247037,6557800
2049,5865321,6269905,6599152
2050,5868138,6294055,6643599
2051,5870891,6319449,6691023
2052,5873495,6345945,6741146
2053,5875957,6373417,6793775
2054,5878205,6401786,6848584
2055,5880215,6430940,6905386
2056,5881959,6460764,6963897
2057,5883356,6491090,7023809
2058,5884433,6521810,7084848
2059,5885138,6552835,7146765
2060,5884539,6581756,7205757
2061,5882624,6608558,7261817
2062,5879556,6633459,7315181
2063,5875378,6656626,7365936
2064,5870160,6678139,7414253
2065,5863983,6697985,7460241
2066,5856913,6716302,7504010
2067,5849019,6733365,7546193
2068,5840418,6749417,7587374
2069,5831221,6764741,7628036
2070,5821482,6779525,7668568
2071,5811293,6794058,7709377
2072,5800670,6808455,7751001
2073,5789683,6822862,7793815
2074,5778406,6837512,7838125
2075,5766859,6852576,7884232
2076,5755097,6868156,7932426
2077,5743165,6884345,7982928
2078,5731087,6901241,8035957
2079,5718909,6918965,8091543
2080,5706633,6937563,8149827
2081,5694216,6956795,8210223
2082,5681587,6976382,8272126
2083,5668686,6996077,8335069
2084,5655474,7015746,8398552
2085,5641897,7035104,8462080
2086,5627920,7054003,8525145
2087,5613542,7072300,8587391
2088,5598709,7089776,8648479
2089,5583410,7106357,8708178
2090,5567642,7121998,8766321
2091,5551400,7136588,8822817
2092,5534693,7150113,8877637
2093,5517490,7162552,8930822
2094,5499834,7173918,8982454
2095,5481735,7184362,9032926
2096,5463263,7194091,9082564
2097,5444461,7203210,9131837
2098,5425369,7211873,9181145
2099,5406039,7220228,9230969
2100,5386508,7228497,9281690
2101,5366797,7236866,9333662
2102,5346937,7245436,9387278
2103,5326958,7254280,9442658
2104,5306869,7263389,9499919
2105,5286690,7272813,9559069
2106,5266418,7282598,9620081
2107,5246059,7292729,9682860
2108,5225617,7303111,9747231
2109,5205098,7313684,9812856
2110,5184497,7324337,9879521
2111,5163778,7335036,9946842
2112,5142934,7345655,10014558
2113,5121959,7356114,10082376
2114,5100843,7366215,10149849
2115,5079558,7375795,10216779
2116,5058094,7384804,10282748
2117,5036454,7393204,10347732
2118,5014631,7400960,10411574
2119,4992630,7408039,10474281
2120,4970456,7414429,10535820
2121,4948103,7420136,10596343
2122,4925585,7425220,10656040
2123,4902896,7429740,10715260
2124,4880060,7433804,10774293
2125,4857114,7437470,10833338
2126,4834066,7440886,10892729
2127,4810961,7444116,10952726
2128,4787793,7447249,11013625
2129,4764588,7450377,11075624
2130,4741345,7453571,11138937
2131,4718070,7456866,11203707
2132,4694791,7460275,11269991
2133,4671507,7463887,11337805
2134,4648215,7467677,11407061
2135,4624938,7471630,11477717
2136,4601667,7475731,11549535
2137,4578414,7479909,11622295
2138,4555171,7484088,11695765
2139,4531916,7488215,11769742
2140,4508663,7492169,11843904
2141,4485367,7495891,11917942
2142,4462053,7499364,11991691
2143,4438725,7502506,12065021
2144,4415373,7505244,12137852
2145,4392014,7507582,12209999
2146,4368619,7509452,12281495
2147,4345202,7510866,12352213
2148,4321758,7511847,12422318
2149,4298292,7512441,12491846
2150,4274819,7512587,12561009
2151,4251336,7512393,12629985
2152,4227847,7511894,12699031
2153,4204363,7511183,12768417
2154,4180890,7510312,12838340
2155,4157433,7509344,12909092
2156,4133993,7508327,12980829
2157,4110574,7507259,13053706
2158,4087197,7506219,13127730
2159,4063865,7505181,13202943
2160,4040586,7504242,13279411
2161,4017368,7503390,13357114
2162,3994210,7502631,13435999
2163,3971112,7501891,13515940
2164,3948065,7501216,13596788
2165,3925071,7500559,13678348
2166,3902135,7499876,13760441
2167,3879261,7499102,13842894
2168,3856445,7498191,13925486
2169,3833687,7497136,14008092
2170,3810977,7495865,14090628
2171,3788338,7494346,14172944
2172,3765738,7492573,14254946
2173,3743179,7490563,14336452
2174,3720666,7488247,14417509
2175,3698188,7485630,14498202
2176,3675758,7482713,14578620
2177,3653375,7479550,14658914
2178,3631048,7476117,14739315
2179,3608772,7472446,14819916
2180,3586567,7468612,14900913
2181,3564429,7464602,14982357
2182,3542353,7460465,15064453
2183,3520345,7456266,15147331
2184,3498412,7452012,15231059
2185,3476554,7447695,15315808
2186,3454787,7443397,15401695
2187,3433103,7439131,15488758
