år,pop_1.4
1986,4159187
1987,4175521
1988,4198289
1989,4220686
1990,4233116
1991,4249830
1992,4273634
1993,4299167
1994,4324815
1995,4348410
1996,4369957
1997,4392714
1998,4417599
1999,4445329
2000,4478497
2001,4503436
2002,4524066
2003,4552252
2004,4577457
2005,4606363
2006,4640219
2007,4681134
2008,4737171
2009,4799252
2010,4858199
2011,4920305
2012,4985870
2013,5051275
2014,5109056
2015,5165802
2016,5213985
2017,5258317
2018,5295619
2019,5328212
2020,5367580
2021,5391369
2022,5425270
2023,5488984
2024,5550203
2025,5581709
2026,5612896
2027,5639896
2028,5664779
2029,5687680
2030,5708670
2031,5727872
2032,5745375
2033,5761253
2034,5775607
2035,5788560
2036,5800145
2037,5810425
2038,5819502
2039,5827442
2040,5834298
2041,5840131
2042,5844990
2043,5848963
2044,5852080
2045,5854408
2046,5856933
2047,5859698
2048,5862516
2049,5865321
2050,5868138
2051,5870891
2052,5873495
2053,5875957
2054,5878205
2055,5880215
2056,5881959
2057,5883356
2058,5884433
2059,5885138
2060,5884539
2061,5882624
2062,5879556
2063,5875378
2064,5870160
2065,5863983
2066,5856913
2067,5849019
2068,5840418
2069,5831221
2070,5821482
2071,5811293
2072,5800670
2073,5789683
2074,5778406
2075,5766859
2076,5755097
2077,5743165
2078,5731087
2079,5718909
2080,5706633
2081,5694216
2082,5681587
2083,5668686
2084,5655474
2085,5641897
2086,5627920
2087,5613542
2088,5598709
2089,5583410
2090,5567642
2091,5551400
2092,5534693
2093,5517490
2094,5499834
2095,5481735
2096,5463263
2097,5444461
2098,5425369
2099,5406039
2100,5386508
2101,5366797
2102,5346937
2103,5326958
2104,5306869
2105,5286690
2106,5266418
2107,5246059
2108,5225617
2109,5205098
2110,5184497
2111,5163778
2112,5142934
2113,5121959
2114,5100843
2115,5079558
2116,5058094
2117,5036454
2118,5014631
2119,4992630
2120,4970456
2121,4948103
2122,4925585
2123,4902896
2124,4880060
2125,4857114
2126,4834066
2127,4810961
2128,4787793
2129,4764588
2130,4741345
2131,4718070
2132,4694791
2133,4671507
2134,4648215
2135,4624938
2136,4601667
2137,4578414
2138,4555171
2139,4531916
2140,4508663
2141,4485367
2142,4462053
2143,4438725
2144,4415373
2145,4392014
2146,4368619
2147,4345202
2148,4321758
2149,4298292
2150,4274819
