sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,0,25310.0,27237.0,27107.0,26721.0,27079.0,26896.0,26555.0,26526.0,26195.0,26387.0,26185.0,25865.0,25946.0,25721.0,25892.0,25925.0,25783.0,25425.0,25920.0,25612.0,25595.0,25489.0,25054.0,24671.0,24477.0,24441.0,23926.0,23833.0,23368.0,23354.0,23116.0,22933.0,22423.0,22684.0,22298.0,22149.0,21951.0,21850.0,21516.0,21539.0,21290.0,21109.0,20948.0,20997.0,20647.0,20629.0,20446.0,20536.0,20385.0,19956.0,19719.0,19767.0,19499.0,19396.0,19188.0,18980.0,18744.0,18707.0,18409.0,18198.0,18031.0,17829.0,17633.0,17471.0,17518.0,17150.0,17046.0,16944.0,16659.0,16541.0,16579.0,16086.0,16069.0,16071.0,15860.0,15812.0,15506.0,15515.0,15497.0,15187.0,15415.0,15169.0,14782.0,14593.0,14541.0,14378.0,14197.0,14142.0,14079.0,13728.0,13715.0,13744.0,13482.0,13284.0,13307.0,13138.0,12866.0,12764.0,12704.0,12424.0,12490.0
K,1,28037.0,25510.0,27435.0,27257.0,26892.0,27237.0,27054.0,26696.0,26673.0,26323.0,26494.0,26305.0,25989.0,26062.0,25828.0,25980.0,26014.0,25865.0,25504.0,26009.0,25678.0,25659.0,25556.0,25114.0,24726.0,24535.0,24499.0,23976.0,23887.0,23416.0,23415.0,23152.0,22978.0,22463.0,22713.0,22329.0,22188.0,21979.0,21876.0,21541.0,21567.0,21318.0,21127.0,20969.0,21026.0,20667.0,20651.0,20461.0,20556.0,20395.0,19965.0,19731.0,19785.0,19510.0,19404.0,19206.0,18992.0,18758.0,18716.0,18421.0,18210.0,18035.0,17833.0,17640.0,17481.0,17523.0,17154.0,17050.0,16951.0,16667.0,16550.0,16586.0,16091.0,16077.0,16073.0,15866.0,15815.0,15511.0,15519.0,15501.0,15188.0,15417.0,15172.0,14785.0,14595.0,14541.0,14379.0,14198.0,14145.0,14082.0,13731.0,13715.0,13744.0,13482.0,13287.0,13307.0,13138.0,12866.0,12766.0,12704.0,12426.0
K,2,26820.0,28231.0,25702.0,27637.0,27416.0,27037.0,27372.0,27212.0,26831.0,26787.0,26442.0,26617.0,26419.0,26099.0,26159.0,25930.0,26049.0,26098.0,25938.0,25579.0,26092.0,25748.0,25727.0,25635.0,25179.0,24801.0,24579.0,24551.0,24028.0,23943.0,23460.0,23461.0,23183.0,23017.0,22487.0,22757.0,22358.0,22218.0,22007.0,21910.0,21559.0,21589.0,21347.0,21145.0,20996.0,21045.0,20692.0,20664.0,20477.0,20576.0,20414.0,19980.0,19745.0,19800.0,19525.0,19408.0,19218.0,18994.0,18766.0,18734.0,18426.0,18218.0,18044.0,17844.0,17642.0,17486.0,17529.0,17165.0,17055.0,16958.0,16676.0,16551.0,16592.0,16093.0,16083.0,16078.0,15867.0,15819.0,15513.0,15523.0,15506.0,15191.0,15419.0,15173.0,14789.0,14599.0,14542.0,14381.0,14201.0,14146.0,14087.0,13734.0,13716.0,13746.0,13482.0,13288.0,13311.0,13143.0,12868.0,12767.0,12705.0
K,3,27466.0,27035.0,28409.0,25889.0,27826.0,27582.0,27152.0,27521.0,27373.0,26968.0,26904.0,26566.0,26712.0,26533.0,26208.0,26251.0,26019.0,26140.0,26178.0,26011.0,25643.0,26158.0,25819.0,25776.0,25690.0,25254.0,24864.0,24638.0,24598.0,24070.0,23996.0,23501.0,23508.0,23231.0,23044.0,22521.0,22787.0,22389.0,22250.0,22036.0,21929.0,21576.0,21618.0,21371.0,21174.0,21019.0,21071.0,20709.0,20683.0,20502.0,20591.0,20431.0,19995.0,19757.0,19809.0,19538.0,19423.0,19231.0,19003.0,18777.0,18747.0,18436.0,18229.0,18048.0,17852.0,17648.0,17489.0,17541.0,17171.0,17058.0,16962.0,16683.0,16552.0,16593.0,16096.0,16088.0,16083.0,15867.0,15823.0,15521.0,15526.0,15507.0,15194.0,15420.0,15177.0,14792.0,14602.0,14542.0,14383.0,14202.0,14150.0,14087.0,13739.0,13718.0,13746.0,13485.0,13287.0,13312.0,13143.0,12868.0,12767.0
K,4,27692.0,27664.0,27246.0,28579.0,26061.0,27986.0,27730.0,27299.0,27659.0,27495.0,27090.0,27020.0,26683.0,26803.0,26640.0,26316.0,26339.0,26122.0,26221.0,26256.0,26082.0,25711.0,26227.0,25876.0,25835.0,25745.0,25307.0,24921.0,24703.0,24649.0,24109.0,24039.0,23539.0,23550.0,23255.0,23085.0,22556.0,22814.0,22410.0,22281.0,22068.0,21950.0,21596.0,21639.0,21392.0,21195.0,21047.0,21084.0,20725.0,20706.0,20520.0,20599.0,20448.0,20013.0,19768.0,19816.0,19546.0,19439.0,19239.0,19014.0,18786.0,18756.0,18444.0,18239.0,18057.0,17858.0,17656.0,17496.0,17546.0,17179.0,17067.0,16965.0,16687.0,16555.0,16595.0,16098.0,16092.0,16090.0,15868.0,15824.0,15524.0,15527.0,15509.0,15198.0,15421.0,15181.0,14797.0,14604.0,14542.0,14384.0,14204.0,14151.0,14088.0,13741.0,13719.0,13746.0,13487.0,13289.0,13313.0,13144.0,12868.0
K,5,28546.0,27929.0,27879.0,27442.0,28759.0,26248.0,28149.0,27900.0,27457.0,27791.0,27627.0,27214.0,27141.0,26804.0,26917.0,26754.0,26412.0,26444.0,26197.0,26311.0,26346.0,26159.0,25782.0,26298.0,25947.0,25910.0,25799.0,25364.0,24981.0,24766.0,24686.0,24161.0,24080.0,23575.0,23587.0,23292.0,23129.0,22586.0,22848.0,22440.0,22312.0,22090.0,21980.0,21619.0,21669.0,21414.0,21212.0,21068.0,21101.0,20741.0,20725.0,20534.0,20627.0,20456.0,20031.0,19778.0,19824.0,19562.0,19457.0,19254.0,19022.0,18793.0,18767.0,18454.0,18245.0,18061.0,17869.0,17660.0,17505.0,17558.0,17183.0,17074.0,16972.0,16697.0,16559.0,16606.0,16103.0,16097.0,16095.0,15870.0,15828.0,15527.0,15529.0,15512.0,15199.0,15423.0,15183.0,14801.0,14606.0,14546.0,14387.0,14205.0,14154.0,14089.0,13742.0,13720.0,13750.0,13487.0,13291.0,13313.0,13145.0
K,6,29714.0,28794.0,28161.0,28076.0,27638.0,28938.0,26416.0,28301.0,28039.0,27587.0,27932.0,27741.0,27346.0,27248.0,26915.0,27023.0,26847.0,26511.0,26533.0,26286.0,26395.0,26429.0,26235.0,25868.0,26373.0,26004.0,25992.0,25858.0,25419.0,25036.0,24821.0,24733.0,24211.0,24121.0,23614.0,23618.0,23331.0,23167.0,22628.0,22886.0,22463.0,22337.0,22126.0,22003.0,21645.0,21691.0,21422.0,21227.0,21084.0,21121.0,20757.0,20741.0,20546.0,20644.0,20476.0,20043.0,19791.0,19835.0,19572.0,19474.0,19266.0,19033.0,18800.0,18773.0,18463.0,18253.0,18067.0,17872.0,17668.0,17510.0,17565.0,17189.0,17079.0,16978.0,16702.0,16564.0,16608.0,16107.0,16102.0,16098.0,15872.0,15833.0,15529.0,15531.0,15516.0,15204.0,15426.0,15186.0,14802.0,14609.0,14549.0,14389.0,14208.0,14157.0,14090.0,13746.0,13723.0,13751.0,13487.0,13291.0,13314.0
K,7,29958.0,29938.0,28988.0,28350.0,28282.0,27807.0,29091.0,26560.0,28457.0,28186.0,27724.0,28087.0,27842.0,27451.0,27357.0,27024.0,27109.0,26939.0,26596.0,26641.0,26365.0,26471.0,26510.0,26319.0,25932.0,26431.0,26051.0,26044.0,25908.0,25474.0,25082.0,24865.0,24785.0,24240.0,24164.0,23648.0,23649.0,23364.0,23207.0,22646.0,22913.0,22494.0,22367.0,22154.0,22027.0,21670.0,21710.0,21443.0,21249.0,21104.0,21139.0,20775.0,20755.0,20562.0,20659.0,20490.0,20059.0,19808.0,19844.0,19583.0,19488.0,19277.0,19044.0,18807.0,18780.0,18476.0,18265.0,18072.0,17878.0,17674.0,17514.0,17575.0,17196.0,17085.0,16984.0,16706.0,16564.0,16614.0,16112.0,16103.0,16102.0,15875.0,15837.0,15531.0,15533.0,15522.0,15205.0,15429.0,15191.0,14803.0,14611.0,14549.0,14392.0,14207.0,14158.0,14090.0,13748.0,13725.0,13755.0,13491.0,13293.0
K,8,30221.0,30178.0,30174.0,29175.0,28547.0,28463.0,27972.0,29257.0,26726.0,28586.0,28303.0,27864.0,28191.0,27944.0,27547.0,27459.0,27151.0,27195.0,27028.0,26694.0,26722.0,26426.0,26548.0,26574.0,26400.0,25999.0,26474.0,26109.0,26103.0,25945.0,25516.0,25134.0,24904.0,24816.0,24276.0,24203.0,23685.0,23674.0,23405.0,23235.0,22670.0,22943.0,22528.0,22382.0,22185.0,22052.0,21697.0,21735.0,21467.0,21270.0,21125.0,21160.0,20792.0,20762.0,20580.0,20672.0,20501.0,20072.0,19825.0,19854.0,19596.0,19494.0,19285.0,19055.0,18816.0,18787.0,18486.0,18277.0,18078.0,17882.0,17684.0,17519.0,17580.0,17202.0,17088.0,16985.0,16712.0,16565.0,16620.0,16117.0,16108.0,16109.0,15879.0,15836.0,15532.0,15533.0,15524.0,15208.0,15430.0,15193.0,14805.0,14613.0,14551.0,14393.0,14212.0,14160.0,14093.0,13751.0,13725.0,13756.0,13493.0
K,9,30613.0,30449.0,30395.0,30389.0,29388.0,28728.0,28640.0,28131.0,29426.0,26882.0,28737.0,28428.0,27971.0,28314.0,28055.0,27660.0,27575.0,27261.0,27290.0,27115.0,26765.0,26803.0,26497.0,26625.0,26651.0,26451.0,26048.0,26541.0,26157.0,26149.0,25992.0,25566.0,25189.0,24953.0,24849.0,24319.0,24231.0,23722.0,23697.0,23436.0,23266.0,22695.0,22973.0,22552.0,22401.0,22218.0,22070.0,21716.0,21748.0,21488.0,21289.0,21139.0,21176.0,20803.0,20783.0,20587.0,20689.0,20514.0,20084.0,19835.0,19866.0,19605.0,19508.0,19299.0,19057.0,18825.0,18793.0,18493.0,18288.0,18087.0,17887.0,17693.0,17522.0,17588.0,17206.0,17093.0,16990.0,16713.0,16567.0,16624.0,16123.0,16110.0,16110.0,15885.0,15837.0,15534.0,15535.0,15526.0,15210.0,15430.0,15194.0,14807.0,14616.0,14552.0,14395.0,14213.0,14163.0,14094.0,13752.0,13727.0,13760.0
