,Døde menn per 100 000 middelfolkemengde ,Døde kvinner per 100 000 middelfolkemengde ,Døde menn prosent av total,Døde kvinner prosent av total
0-4 år,54,48,0.00054,0.00048
5-9 år,3,8,0.00003,0.00008
10-14 år,7,8,0.00007,0.00008
15-19 år,40,17,0.0004,0.00017
20-24 år,49,18,0.00049,0.00018
25-29 år,64,29,0.00064,0.00029
30-34 år,65,29,0.00065,0.00029
35-39 år,85,39,0.00085,0.00039
40-44 år,122,59,0.00122,0.00059
45-49 år,159,101,0.00159,0.00101
50-54 år,248,174,0.00248,0.00174
55-59 år,394,272,0.00394,0.00272
60-64 år,661,424,0.00661,0.00424
65-69 år,1147,791,0.01147,0.00791
70-74 år,1896,1310,0.01896,0.0131
75-79 år,3285,2440,0.03285,0.0244
80-84 år,5944,4334,0.05944,0.04334
85-89 år,11361,8862,0.11361,0.08862
90 år eller eldre,25047,21567,0.25047,0.21567
